,city
0,עפולה
1,מאיפה שנוח לך בארץ
2,לוד
3,נתניה
4,כפר סבא
5,פתח תקווה
6,נתניה
7,ירכא
8,ראשון לציון
9,תל אביב יפו
10,נתניה
11,כרמיאל
12,בת ים
13,נתניה
14,חיפה
15,פרדס חנה כרכור
16,נתניה
17,חולון
18,חיפה
19,נתניה
20,קרית אתא
21,איכסאל
22,תל אביב
23,רעננה
24,חולון
25,חולון
26,ראשון לציון
27,חדרה
28,קרית אתא
29,ירושלים
30,ראשון לציון
31,נתניה
32,חיפה
33,ראשון לציון
34,רמת השרון
35,עפולה
36,חיפה
37,ירכא
38,אזור
39,עפולה
40,אבן יהודה
41,נתניה
42,לוד
43,חדרה
44,ראשון לציון
45,חיפה
46,רמת השרון
47,פתח תקווה
48,נתניה
49,חיפה
50,עפולה
51,באר שבע
52,עיספיא
53,ראשון לציון
54,ראשון לציון
55,פתח תקווה
56,חיפה
57,עפולה
58,עפולה
59,פתח תקווה
60,נתניה
61,קרית שמונה
62,חיפה
63,נתניה
64,חיפה
65,חיפה
66,ראשון לציון
67,נוף הגליל
68,נתניה
69,פרדס חנה כרכור
70,חיפה
71,קרית שמונה
72,חיפה
73,רמת גן
74,חולון
75,ראשון לציון
76,קרית שמונה
77,תל אביב יפו
78,נתניה
79,ראשון לציון
80,כרמיאל
81,ראשון לציון
82,ראשון לציון
83,נתניה
84,נתניה
85,רמת השרון
86,קרית שמונה
87,פתח תקווה
88,ירושלים
89,חיפה
90,נתיבות
91,תל אביב יפו
92,רמת השרון
93,שפרעם
94,חיפה
95,רמת גן
96,נתניה
97,נתניה
98,פתח תקווה
99,ראשון לציון
100,תל אביב יפו
101,פתח תקווה
102,נתיבות
103,רמת השרון
104,פתח תקווה
105,ראשון לציון
106,פתח תקווה
107,ירושלים
108,לוד
109,נתניה
110,קרית שמונה
111,חיפה
112,מאיפה שנוח לך בארץ
113,חיפה
114,רמת השרון
115,נתניה
116,חדרה
117,חולון
118,ירושלים
119,ראשון לציון
120,ירכא
121,נתניה
122,ירכא
123,כפר חסידים א'
124,חדרה
125,קרית שמונה
126,עפולה
127,ירכא
128,חיפה
129,חיפה
130,רעננה
131,ראשון לציון
132,נתניה
