,color
0,אפור מטל
1,לבן
2,שחור
3,שחור מטלי
4,אפור
5,שחור מטלי
6,שנהב לבן
7,שחור
8,שחור
9,שחור
10,שחור
11,כסוף
12,כסף
13,שנהב לבן
14,חום בהיר
15,אפור מטל
16,שנהב לבן
17,שנהב לבן
18,כסף מטלי
19,שחור מטאלי
20,שנהב לבן
21,שנהב לבן
22,שחור מטלי
23,כסף
24,שנהב לבן
25,אפור כהה מטלי
26,שנהב לבן
27,לבן
28,אפור מטל
29,קפה מטאלי
30,שנהב לבן
31,שנהב לבן
32,לבן
33,שנהב לבן
34,לבן
35,אפור
36,כסף מטלי
37,שנהב לבן
38,אפור כהה
39,אפור
40,כסף מטלי
41,לבן
42,אפור כהה
43,אפור מטאלי
44,שנהב לבן
45,אפור מטל
46,שנהב לבן
47,אפור מטל
48,שנהב לבן
49,תכלת
50,אפור מטל
51,אפור מטל
52,שנהב לבן
53,שנהב לבן
54,שחור מטלי
55,כסף מטלי
56,שנהב לבן
57,שחור
58,בורדו מטל
59,שחור מטלי
60,אפור מטל
61,שנהב לבן
62,כסף
63,שחור
64,שנהב לבן
65,אפור
66,שנהב לבן
67,שנהב לבן
68,שנהב לבן
69,תכלת מטאלי
70,אפור מטל
71,כסוף בהיר
72,שחור
73,שנהב לבן
74,אפור כהה מטלי
75,כסוף כהה מטלי
76,שנהב לבן
77,שחור
78,שחור
79,שנהב לבן
80,כסוף
81,שנהב לבן
82,שנהב לבן
83,שחור מטלי
84,כסף
85,ברונזה
86,אפור מטל
87,שנהב לבן
88,שנהב לבן
89,בז מטאלי
90,שנהב לבן
91,אדום
92,לבן
93,שנהב לבן
94,כסף
95,אפור מטל
96,לבן
97,שנהב לבן
98,שנהב לבן
99,שנהב לבן
100,אפור
101,כסף
102,שחור
103,שחור
104,שנהב לבן
105,כסף מטלי
106,אפור כהה
107,אפור בהיר מטלי
108,שחור
109,שנהב לבן
110,שחור מטלי
111,לבן
112,לבן
113,שחור מטלי
114,לבן
115,שנהב לבן
116,לבן
117,בורדו
118,אפור כהה
119,אדום
120,אפור
121,שנהב לבן
122,כסף
123,שנהב לבן
124,לבן
125,שנהב לבן
126,שנהב לבן
127,אפור כהה מטלי
128,שנהב לבן
129,שנהב לבן
130,שנהב לבן
131,אפור
132,שנהב לבן
133,אפור
134,שנהב לבן
135,שנהב לבן
136,שנהב לבן
137,לבן
138,בז מטאלי
139,שנהב לבן
140,בז מטאלי
141,כסוף כהה
142,שנהב לבן
143,כסף מטלי
144,כסף מטלי
145,שנהב לבן
146,קרם
147,אפור
148,שנהב לבן
149,שנהב לבן
150,שנהב לבן
151,שנהב לבן
152,לבן
153,אפור מטל
