,price,location,version,year,engine,km,owner_num,gear_type,color,origin_own,nxt_test,test_cost,version_num,color_num,engine_num,location_num
0,138000,עפולה,מזדה CX-5 CX-5 PREMIUM,2018,1998 ליטר בנזין,55000,4,אוטומטי,אפור מטל,ליסינג,6,2019,363,13,82,32
2,115000,לוד,קיה ספורטז' SPORTAGE URBAN,2018,1999 ליטר בנזין,27000,3,אוטומטי,שחור,פרטית,4,1835,735,65,84,21
4,20000,כפר סבא,אופל אסטרה ASTRA ENJOY,2012,1598 ליטר בנזין,220000,2,אוטומטי,אפור,ליסינג,4,1262,47,6,53,19
5,143000,פתח תקווה,פולקסווגן טיגואן TIGUAN LIFE PLUS,2021,1498 ליטר בנזין,86000,1,אוטומטי,שחור מטלי,ליסינג,11,2417,642,67,39,35
6,97000,נתניה,יונדאי איוניק HYBRID PREMIUM,2019,1580 ליטר בנזין,85000,1,אוטומטי,שנהב לבן,ליסינג,4,1604,283,70,44,28
7,313800,ירכא,מרצדס E קלאס E200 AVANTGARDE,2020,1991 ליטר בנזין,22830,2,אוטומטי,שחור,פרטית,11,3357,431,65,71,16
8,112900,ראשון לציון,טויוטה קורולה HSD SDN SUN,2019,1798 ליטר בנזין,65894,2,אוטומטי,שחור,פרטית,1,1604,241,65,60,38
9,75900,תל אביב יפו,יונדאי I20 I20 PRIME,2019,998 ליטר בנזין,36400,1,אוטומטי,שחור,ליסינג,9,1102,265,65,150,48
11,100900,כרמיאל,מזדה 3 MAZDA 3 COMFORT,2019,1998 ליטר בנזין,51626,1,אוטומטי,כסוף,ליסינג,11,1604,341,40,82,20
12,96000,בת ים,קיה סטוניק STONIC PREMIUM,2019,998 ליטר בנזין,40000,1,אוטומטי,כסף,פרטית,3,1353,726,46,150,7
13,96300,נתניה,קיה סטוניק STONIC LX,2020,998 ליטר בנזין,85000,1,אוטומטי,שנהב לבן,ליסינג,4,1529,725,70,150,28
14,142900,חיפה,מיצובישי אאוטלנדר OUTLANDER INSTYLE,2019,1998 ליטר בנזין,28361,1,אוטומטי,חום בהיר,פרטית,1,2019,380,24,82,12
17,209000,חולון,לקסוס RX 350 PREMIUM,2017,3456 ליטר בנזין,55000,1,אוטומטי,שנהב לבן,פרטית,7,3357,330,70,129,11
18,94000,חיפה,רנו מגאן MEGANE INTENSE,2020,1461 ליטר דיזל,58000,2,אוטומטי,כסף מטלי,ליסינג,12,1604,750,49,29,12
19,143560,נתניה,ניסאן X TRAIL X-TRAIL ACENTA,2021,1332 ליטר בנזין,72220,1,אוטומטי,שחור מטאלי,השכרה,12,2417,464,66,13,28
20,127500,קרית אתא,מזדה 3 MAZDA 3 COMFORT,2020,1998 ליטר בנזין,110000,1,אוטומטי,שנהב לבן,פרטית,8,1811,341,70,82,36
21,199000,איכסאל,קיה נירו NIRO PLUS EV EV,2022,חשמלי,1,1,אוטומטי,שנהב לבן,פרטית,7,2417,716,70,152,3
23,103000,רעננה,מיצובישי אאוטלנדר OUTLANDER INTENSE,2017,1998 ליטר בנזין,145000,1,אוטומטי,כסף,אחר,7,2019,381,46,82,44
24,452000,חולון,לנד רובר רינג' רובר ספורט SPORT PHEV HSE DYN,2019,1997 ליטר חשמל/בנזין,66000,2,אוטומטי,שנהב לבן,פרטית,7,3357,324,70,81,11
25,79000,חולון,אאודי Q5 Q5 LUXURY,2013,1984 ליטר בנזין,140000,2,אוטומטי,אפור כהה מטלי,פרטית,4,2397,39,10,68,11
