,links
0,https://carwiz.co.il/used-cars/69a12ef2-3c88-419c-b0a2-4e32b6cb5e6b/2018-%D7%9E%D7%96%D7%93%D7%94-CX-5
1,https://carwiz.co.il/used-cars/6592c44b-9aa5-4982-8504-9ce18fe3b506/2019-%D7%99%D7%95%D7%A0%D7%93%D7%90%D7%99-%D7%98%D7%95%D7%A1%D7%95%D7%9F
2,https://carwiz.co.il/used-cars/f23042f3-6944-4c31-bf06-f647e2b74663/2018-%D7%A7%D7%99%D7%94-%D7%A1%D7%A4%D7%95%D7%A8%D7%98%D7%96'
3,https://carwiz.co.il/used-cars/300ce931-e538-498c-b2bf-b07d6362a198/2021-%D7%A9%D7%91%D7%A8%D7%95%D7%9C%D7%98-%D7%A1%D7%A4%D7%90%D7%A8%D7%A7
4,https://carwiz.co.il/used-cars/be89bbbc-f648-43ff-be3c-4fc6ef58060b/2012-%D7%90%D7%95%D7%A4%D7%9C-%D7%90%D7%A1%D7%98%D7%A8%D7%94
5,https://carwiz.co.il/used-cars/479c7d74-f2b0-4986-9ca0-5eb274f4fc1d/2021-%D7%A4%D7%95%D7%9C%D7%A7%D7%A1%D7%95%D7%95%D7%92%D7%9F-%D7%98%D7%99%D7%92%D7%95%D7%90%D7%9F
6,https://carwiz.co.il/used-cars/cbc0c85e-eec6-4287-8eba-fec8a5b48875/2019-%D7%99%D7%95%D7%A0%D7%93%D7%90%D7%99-%D7%90%D7%99%D7%95%D7%A0%D7%99%D7%A7
7,https://carwiz.co.il/used-cars/80104253-d82d-449b-8989-ffda0aa922f8/2020-%D7%9E%D7%A8%D7%A6%D7%93%D7%A1-E-%D7%A7%D7%9C%D7%90%D7%A1
8,https://carwiz.co.il/used-cars/494a64bd-e76a-4a65-9ade-07d6e493fa3a/2019-%D7%98%D7%95%D7%99%D7%95%D7%98%D7%94-%D7%A7%D7%95%D7%A8%D7%95%D7%9C%D7%94
9,https://carwiz.co.il/used-cars/74a7d869-367a-4438-b524-06d586759a82/2019-%D7%99%D7%95%D7%A0%D7%93%D7%90%D7%99-I20
10,https://carwiz.co.il/used-cars/5ca8cdbe-42b7-4e9f-83f0-ad50a11440a8/2018-%D7%99%D7%95%D7%A0%D7%93%D7%90%D7%99-%D7%A1%D7%95%D7%A0%D7%98%D7%94
11,https://carwiz.co.il/used-cars/7a1d6674-ac8d-4c56-897f-61a87103b2d8/2019-%D7%9E%D7%96%D7%93%D7%94-3
12,https://carwiz.co.il/used-cars/3806a929-aa57-4d49-8291-a6f1dbe56917/2019-%D7%A7%D7%99%D7%94-%D7%A1%D7%98%D7%95%D7%A0%D7%99%D7%A7
13,https://carwiz.co.il/used-cars/970fd82a-cb50-4863-83c4-dceda762c5ba/2020-%D7%A7%D7%99%D7%94-%D7%A1%D7%98%D7%95%D7%A0%D7%99%D7%A7
14,https://carwiz.co.il/used-cars/62e6d67c-43a4-45bb-bef8-f07ddf417e8f/2019-%D7%9E%D7%99%D7%A6%D7%95%D7%91%D7%99%D7%A9%D7%99-%D7%90%D7%90%D7%95%D7%98%D7%9C%D7%A0%D7%93%D7%A8
15,https://carwiz.co.il/used-cars/408d64b2-a152-40f9-bc45-258b86335e85/2016-%D7%90%D7%95%D7%A4%D7%9C-%D7%9E%D7%A8%D7%99%D7%91%D7%94
16,https://carwiz.co.il/used-cars/2c5ad1ba-5b75-4d53-8458-50700eae8663/2022-%D7%92'%D7%99%D7%A4-%D7%A8%D7%A0%D7%92%D7%9C%D7%A8
17,https://carwiz.co.il/used-cars/0c057578-1151-4bdb-8f83-0831c0b6f8c7/2017-%D7%9C%D7%A7%D7%A1%D7%95%D7%A1-RX
18,https://carwiz.co.il/used-cars/ad5b8dcd-5f78-4c0c-88c4-9d5f7490469e/2020-%D7%A8%D7%A0%D7%95-%D7%9E%D7%92%D7%90%D7%9F
19,https://carwiz.co.il/used-cars/d56aa342-0f7b-4fb7-9f44-aa3c3cbdaec3/2021-%D7%A0%D7%99%D7%A1%D7%90%D7%9F-X-TRAIL
20,https://carwiz.co.il/used-cars/ee6b87ae-56f5-4069-bc1a-a2dfb0160279/2020-%D7%9E%D7%96%D7%93%D7%94-3
21,https://carwiz.co.il/used-cars/b6835e99-e3b6-40dc-9228-61f0995d9a4a/2022-%D7%A7%D7%99%D7%94-%D7%A0%D7%99%D7%A8%D7%95
22,https://carwiz.co.il/used-cars/0911498a-86c1-4975-81d5-9131156e5921/2020-%D7%9E%D7%A8%D7%A6%D7%93%D7%A1-S-%D7%A7%D7%9C%D7%90%D7%A1
23,https://carwiz.co.il/used-cars/fdedc1d9-0411-41a6-a9dd-4377fcc52d32/2017-%D7%9E%D7%99%D7%A6%D7%95%D7%91%D7%99%D7%A9%D7%99-%D7%90%D7%90%D7%95%D7%98%D7%9C%D7%A0%D7%93%D7%A8
24,https://carwiz.co.il/used-cars/97f4895a-18b4-4e65-8827-ab56dec3a2f7/2019-%D7%9C%D7%A0%D7%93-%D7%A8%D7%95%D7%91%D7%A8-%D7%A8%D7%99%D7%A0%D7%92'-%D7%A8%D7%95%D7%91%D7%A8-%D7%A1%D7%A4%D7%95%D7%A8%D7%98
25,https://carwiz.co.il/used-cars/8e5cb348-fe56-499b-bc7c-fc091a968187/2013-%D7%90%D7%90%D7%95%D7%93%D7%99-Q5
26,https://carwiz.co.il/used-cars/672a1a6c-2919-45a0-8203-92d446b75424/2019-%D7%A7%D7%99%D7%94-%D7%A1%D7%98%D7%95%D7%A0%D7%99%D7%A7
27,https://carwiz.co.il/used-cars/51772c55-df5f-40e4-b612-42d06fe3eb9d/2020-%D7%A1%D7%99%D7%90%D7%98-%D7%90%D7%99%D7%91%D7%99%D7%96%D7%94
28,https://carwiz.co.il/used-cars/27cf4d07-1a84-413f-9ca4-0a4bf62fcd7d/2015-%D7%A1%D7%95%D7%96%D7%95%D7%A7%D7%99-%D7%90%D7%9C%D7%98%D7%95
29,https://carwiz.co.il/used-cars/8a5a9a6c-a459-4a75-9ba1-748513485b54/2015-%D7%A1%D7%A7%D7%95%D7%93%D7%94-%D7%90%D7%95%D7%A7%D7%98%D7%91%D7%99%D7%94
30,https://carwiz.co.il/used-cars/d4b429ff-8e04-4e7d-8d23-ea5bc81c9d7d/2014-%D7%91-%D7%9E-%D7%95%D7%95-%D7%A1%D7%93%D7%A8%D7%94-3
31,https://carwiz.co.il/used-cars/f60676de-6663-4f2b-8ed2-d9de519517c2/2018-%D7%90%D7%90%D7%95%D7%93%D7%99-Q2
32,https://carwiz.co.il/used-cars/12080222-6be8-486d-b386-0e59d968905b/2018-%D7%A1%D7%95%D7%91%D7%90%D7%A8%D7%95-%D7%A4%D7%95%D7%A8%D7%A1%D7%98%D7%A8
33,https://carwiz.co.il/used-cars/0397ffa7-86c4-47be-a1b4-44b1bd91ecaa/2019-%D7%98%D7%95%D7%99%D7%95%D7%98%D7%94-C-HR
34,https://carwiz.co.il/used-cars/4a83c18d-1cda-4bc7-b041-12043bda0f05/2021-%D7%A7%D7%99%D7%94-%D7%A1%D7%95%D7%A8%D7%A0%D7%98%D7%95
35,https://carwiz.co.il/used-cars/4e519b92-f2f2-4f6c-a45d-afd0f40893be/2021-%D7%A7%D7%99%D7%94-%D7%A4%D7%99%D7%A7%D7%A0%D7%98%D7%95
36,https://carwiz.co.il/used-cars/78c02f01-e317-481d-b989-dbfc88e39b67/2021-%D7%90%D7%95%D7%A4%D7%9C-%D7%A7%D7%95%D7%A8%D7%A1%D7%94
37,https://carwiz.co.il/used-cars/5a0e42bf-1a13-4d0c-b523-b3a30cd93774/2013-%D7%A4%D7%95%D7%9C%D7%A7%D7%A1%D7%95%D7%95%D7%92%D7%9F-%D7%92%D7%95%D7%9C%D7%A3
38,https://carwiz.co.il/used-cars/2f2cc7f6-4d4e-41f9-8345-c5fd6a4e0248/2016-%D7%A9%D7%91%D7%A8%D7%95%D7%9C%D7%98-%D7%A1%D7%A4%D7%90%D7%A8%D7%A7
39,https://carwiz.co.il/used-cars/c2085509-203e-4cb4-9f99-d631ace9f38d/2021-%D7%A9%D7%91%D7%A8%D7%95%D7%9C%D7%98-%D7%90%D7%A7%D7%95%D7%99%D7%A0%D7%95%D7%A7%D7%A1
40,https://carwiz.co.il/used-cars/53241fb4-3d24-43a4-bef8-ebeb07e21e9d/2016-%D7%99%D7%95%D7%A0%D7%93%D7%90%D7%99-%D7%98%D7%95%D7%A1%D7%95%D7%9F
41,https://carwiz.co.il/used-cars/45f45707-1e99-43a5-bea0-5fe498a5c30c/2013-%D7%A4%D7%95%D7%A8%D7%93-%D7%90%D7%93%D7%92'
42,https://carwiz.co.il/used-cars/8ad5b7de-64f1-4ee4-8048-cc9fd15b7772/2022-%D7%9E%D7%A8%D7%A6%D7%93%D7%A1-A-%D7%A7%D7%9C%D7%90%D7%A1
43,https://carwiz.co.il/used-cars/b7bf5667-41c5-4a60-9da3-b6b673961fdf/2016-%D7%A1%D7%95%D7%91%D7%90%D7%A8%D7%95-XV
44,https://carwiz.co.il/used-cars/654fad5b-4bcc-4c7c-b3fc-de651cf43ccd/2016-%D7%A0%D7%99%D7%A1%D7%90%D7%9F-X-TRAIL
45,https://carwiz.co.il/used-cars/8a71117a-0b1d-410d-8b0e-7f38f089d9d6/2013-%D7%A4%D7%99%D7%90%D7%98-500
