,Unnamed: 0,price,location,version,year,engine,km,owner_num,gear_type,color,origin_own,nxt_test,test_cost,city
0,1,"138,000 ₪",עפולה,מזדה CX-5 CX-5 PREMIUM,2018,1998 ליטר בנזין,"55,000",4,אוטומטי,אפור מטל,ליסינג,6 חודשים,"2,019 ₪",
1,2,"117,500 ₪",מאיפה שנוח לך בארץ,יונדאי טוסון TUCSON PRIME PLUS,2019,1999 ליטר בנזין,"84,971",1,אוטומטי,לבן,אחר,0,"1,835 ₪",
2,3,"115,000 ₪",לוד,קיה ספורטז' SPORTAGE URBAN,2018,1999 ליטר בנזין,"27,000",3,אוטומטי,שחור,פרטית,4 חודשים,"1,835 ₪",
3,4,"69,900 ₪",נתניה,שברולט ספארק SPARK LT PLUS,2021,1399 ליטר בנזין,"11,000",1,אוטומטי,שחור מטלי,פרטית,0,"1,235 ₪",
4,5,"20,000 ₪",כפר סבא,אופל אסטרה ASTRA ENJOY,2012,1598 ליטר בנזין,"220,000",2,אוטומטי,אפור,ליסינג,4 חודשים,"1,262 ₪",
5,6,"143,000 ₪",פתח תקווה,פולקסווגן טיגואן TIGUAN LIFE PLUS,2021,1498 ליטר בנזין,"86,000",1,אוטומטי,שחור מטלי,ליסינג,11 חודשים,"2,417 ₪",
6,7,"97,000 ₪",נתניה,יונדאי איוניק HYBRID PREMIUM,2019,1580 ליטר בנזין,"85,000",1,אוטומטי,שנהב לבן,ליסינג,4 חודשים,"1,604 ₪",
7,8,"313,800 ₪",ירכא,מרצדס E קלאס E200 AVANTGARDE,2020,1991 ליטר בנזין,"22,830",2,אוטומטי,שחור,פרטית,11 חודשים,"3,357 ₪",
8,9,"112,900 ₪",ראשון לציון,טויוטה קורולה HSD SDN SUN,2019,1798 ליטר בנזין,"65,894",2,אוטומטי,שחור,פרטית,1 חודשים,"1,604 ₪",
9,10,"75,900 ₪",תל אביב יפו,יונדאי I20 I20 PRIME,2019,998 ליטר בנזין,"36,400",1,אוטומטי,שחור,ליסינג,9 חודשים,"1,102 ₪",
10,11,"99,000 ₪",נתניה,יונדאי סונטה HYBRID PREMIUM,2018,1999 ליטר בנזין,"140,000",1,אוטומטי,שחור,פרטית,0,"2,019 ₪",
11,12,"100,900 ₪",כרמיאל,מזדה 3 MAZDA 3 COMFORT,2019,1998 ליטר בנזין,"51,626",1,אוטומטי,כסוף,ליסינג,11 חודשים,"1,604 ₪",
12,13,"96,000 ₪",בת ים,קיה סטוניק STONIC PREMIUM,2019,998 ליטר בנזין,"40,000",1,אוטומטי,כסף,פרטית,3 חודשים,"1,353 ₪",
13,14,"96,300 ₪",נתניה,קיה סטוניק STONIC LX,2020,998 ליטר בנזין,"85,000",1,אוטומטי,שנהב לבן,ליסינג,4 חודשים,"1,529 ₪",
14,15,"142,900 ₪",חיפה,מיצובישי אאוטלנדר OUTLANDER INSTYLE,2019,1998 ליטר בנזין,"28,361",1,אוטומטי,חום בהיר,פרטית,1 חודשים,"2,019 ₪",
15,16,"27,999 ₪",פרדס חנה כרכור,אופל מריבה MERIVA ENJOY,2016,1364 ליטר בנזין,"134,000",2,אוטומטי,אפור מטל,פרטית,0,"1,205 ₪",
16,17,"425,000 ₪",נתניה,ג'יפ רנגלר JEEP WRANGLER ITED RUBICON,2022,3604 ליטר בנזין,0,1,אוטומטי,שנהב לבן,פרטית,0,"4,731 ₪",
