,gear_type
0,אוטומטי
1,אוטומטי
2,אוטומטי
3,אוטומטי
4,אוטומטי
5,אוטומטי
6,אוטומטי
7,אוטומטי
8,אוטומטי
9,אוטומטי
10,אוטומטי
11,אוטומטי
12,אוטומטי
13,אוטומטי
14,אוטומטי
15,אוטומטי
16,אוטומטי
17,אוטומטי
18,אוטומטי
19,אוטומטי
20,אוטומטי
21,אוטומטי
22,אוטומטי
23,אוטומטי
24,אוטומטי
25,אוטומטי
26,אוטומטי
27,אוטומטי
28,ידני
29,אוטומטי
30,אוטומטי
31,אוטומטי
32,אוטומטי
33,אוטומטי
34,אוטומטי
35,אוטומטי
36,אוטומטי
37,אוטומטי
38,אוטומטי
39,אוטומטי
40,אוטומטי
41,אוטומטי
42,אוטומטי
43,אוטומטי
44,אוטומטי
45,אוטומטי
46,אוטומטי
47,אוטומטי
48,אוטומטי
49,אוטומטי
50,אוטומטי
51,אוטומטי
52,אוטומטי
53,אוטומטי
54,אוטומטי
55,אוטומטי
56,אוטומטי
57,אוטומטי
58,אוטומטי
59,אוטומטי
60,אוטומטי
61,אוטומטי
62,אוטומטי
63,אוטומטי
64,אוטומטי
65,אוטומטי
66,אוטומטי
67,אוטומטי
68,אוטומטי
69,אוטומטי
70,אוטומטי
71,אוטומטי
72,אוטומטי
73,ידני
74,אוטומטי
75,אוטומטי
76,אוטומטי
77,אוטומטי
78,אוטומטי
79,אוטומטי
80,אוטומטי
81,אוטומטי
82,ידני
83,אוטומטי
84,אוטומטי
85,אוטומטי
86,אוטומטי
87,אוטומטי
88,ידני
89,אוטומטי
90,אוטומטי
91,אוטומטי
92,אוטומטי
93,אוטומטי
94,אוטומטי
95,אוטומטי
96,אוטומטי
97,אוטומטי
98,אוטומטי
99,אוטומטי
100,אוטומטי
101,אוטומטי
102,ידני
103,אוטומטי
104,אוטומטי
105,אוטומטי
106,אוטומטי
107,אוטומטי
108,אוטומטי
109,אוטומטי
110,אוטומטי
111,אוטומטי
112,ידני
113,אוטומטי
114,אוטומטי
115,ידני
116,אוטומטי
117,אוטומטי
118,אוטומטי
119,אוטומטי
120,אוטומטי
121,אוטומטי
122,אוטומטי
123,אוטומטי
124,אוטומטי
125,אוטומטי
126,אוטומטי
127,אוטומטי
128,אוטומטי
129,אוטומטי
130,אוטומטי
131,אוטומטי
132,אוטומטי
133,אוטומטי
134,אוטומטי
135,אוטומטי
136,אוטומטי
137,אוטומטי
138,אוטומטי
139,אוטומטי
140,אוטומטי
141,ידני
142,אוטומטי
143,אוטומטי
144,אוטומטי
145,אוטומטי
146,אוטומטי
147,אוטומטי
148,אוטומטי
149,אוטומטי
150,אוטומטי
151,אוטומטי
152,אוטומטי
153,אוטומטי
154,אוטומטי
155,אוטומטי
156,אוטומטי
157,אוטומטי
158,אוטומטי
159,אוטומטי
160,אוטומטי
161,אוטומטי
162,אוטומטי
163,אוטומטי
164,אוטומטי
165,אוטומטי
166,אוטומטי
167,אוטומטי
168,אוטומטי
169,אוטומטי
170,אוטומטי
171,אוטומטי
172,אוטומטי
173,אוטומטי
174,אוטומטי
175,אוטומטי
176,אוטומטי
177,אוטומטי
178,אוטומטי
179,אוטומטי
180,אוטומטי
181,אוטומטי
182,ידני
183,אוטומטי
184,אוטומטי
185,אוטומטי
186,אוטומטי
187,אוטומטי
188,אוטומטי
189,אוטומטי
190,אוטומטי
191,אוטומטי
192,אוטומטי
193,אוטומטי
194,אוטומטי
195,ידני
196,אוטומטי
197,אוטומטי
198,אוטומטי
199,אוטומטי
200,אוטומטי
201,אוטומטי
202,אוטומטי
203,אוטומטי
204,אוטומטי
205,אוטומטי
206,אוטומטי
207,אוטומטי
208,אוטומטי
209,אוטומטי
210,אוטומטי
211,אוטומטי
212,ידני
213,אוטומטי
214,אוטומטי
215,אוטומטי
216,אוטומטי
217,אוטומטי
218,אוטומטי
219,אוטומטי
220,אוטומטי
221,אוטומטי
222,אוטומטי
223,אוטומטי
224,אוטומטי
225,אוטומטי
226,אוטומטי
227,אוטומטי
228,אוטומטי
229,אוטומטי
230,אוטומטי
231,אוטומטי
232,אוטומטי
233,אוטומטי
234,אוטומטי
235,אוטומטי
236,אוטומטי
237,אוטומטי
238,אוטומטי
239,אוטומטי
240,אוטומטי
241,אוטומטי
242,אוטומטי
243,אוטומטי
244,אוטומטי
245,אוטומטי
246,אוטומטי
247,אוטומטי
248,אוטומטי
249,אוטומטי
250,אוטומטי
251,אוטומטי
252,אוטומטי
253,ידני
254,אוטומטי
255,אוטומטי
256,אוטומטי
257,אוטומטי
258,אוטומטי
259,אוטומטי
260,אוטומטי
261,אוטומטי
262,אוטומטי
263,אוטומטי
264,אוטומטי
265,אוטומטי
266,אוטומטי
267,אוטומטי
268,אוטומטי
269,אוטומטי
270,אוטומטי
271,אוטומטי
272,אוטומטי
273,אוטומטי
274,אוטומטי
275,אוטומטי
276,אוטומטי
277,אוטומטי
278,אוטומטי
279,אוטומטי
280,אוטומטי
281,אוטומטי
282,אוטומטי
283,אוטומטי
284,אוטומטי
285,אוטומטי
286,אוטומטי
287,אוטומטי
288,אוטומטי
289,אוטומטי
290,אוטומטי
291,אוטומטי
292,אוטומטי
293,אוטומטי
294,אוטומטי
295,אוטומטי
296,אוטומטי
297,אוטומטי
298,אוטומטי
299,אוטומטי
300,אוטומטי
301,אוטומטי
302,אוטומטי
303,אוטומטי
304,אוטומטי
305,אוטומטי
306,אוטומטי
307,אוטומטי
308,אוטומטי
309,אוטומטי
310,אוטומטי
311,אוטומטי
312,אוטומטי
313,אוטומטי
314,אוטומטי
315,אוטומטי
316,אוטומטי
317,אוטומטי
318,אוטומטי
319,אוטומטי
320,אוטומטי
321,אוטומטי
322,אוטומטי
323,אוטומטי
324,אוטומטי
325,אוטומטי
326,אוטומטי
327,אוטומטי
328,אוטומטי
329,אוטומטי
330,אוטומטי
331,אוטומטי
332,אוטומטי
333,ידני
334,אוטומטי
335,אוטומטי
336,אוטומטי
337,אוטומטי
338,אוטומטי
339,אוטומטי
340,אוטומטי
341,אוטומטי
342,אוטומטי
343,אוטומטי
344,אוטומטי
345,אוטומטי
346,אוטומטי
347,אוטומטי
348,אוטומטי
349,אוטומטי
350,אוטומטי
351,אוטומטי
352,אוטומטי
353,אוטומטי
354,אוטומטי
355,אוטומטי
356,אוטומטי
357,אוטומטי
358,אוטומטי
359,אוטומטי
360,אוטומטי
361,אוטומטי
362,אוטומטי
363,אוטומטי
364,אוטומטי
365,אוטומטי
366,אוטומטי
367,אוטומטי
368,אוטומטי
369,אוטומטי
370,אוטומטי
371,אוטומטי
372,אוטומטי
373,אוטומטי
374,אוטומטי
375,אוטומטי
376,אוטומטי
377,אוטומטי
378,אוטומטי
379,אוטומטי
380,אוטומטי
381,אוטומטי
382,אוטומטי
383,אוטומטי
384,אוטומטי
385,אוטומטי
386,אוטומטי
387,אוטומטי
388,אוטומטי
389,אוטומטי
390,אוטומטי
391,אוטומטי
392,אוטומטי
393,אוטומטי
394,אוטומטי
395,אוטומטי
396,ידני
397,ידני
398,אוטומטי
399,אוטומטי
400,אוטומטי
401,אוטומטי
402,אוטומטי
403,אוטומטי
404,אוטומטי
405,אוטומטי
406,אוטומטי
407,אוטומטי
408,אוטומטי
409,אוטומטי
410,אוטומטי
411,אוטומטי
412,אוטומטי
413,אוטומטי
414,אוטומטי
415,אוטומטי
416,אוטומטי
417,אוטומטי
418,אוטומטי
419,אוטומטי
420,אוטומטי
421,אוטומטי
422,אוטומטי
423,אוטומטי
424,אוטומטי
425,אוטומטי
426,אוטומטי
427,אוטומטי
428,אוטומטי
429,אוטומטי
430,אוטומטי
431,אוטומטי
432,ידני
433,אוטומטי
434,אוטומטי
435,אוטומטי
436,אוטומטי
437,אוטומטי
438,אוטומטי
439,אוטומטי
440,אוטומטי
441,אוטומטי
442,אוטומטי
443,אוטומטי
444,אוטומטי
445,אוטומטי
446,אוטומטי
447,אוטומטי
448,אוטומטי
449,אוטומטי
450,אוטומטי
451,אוטומטי
452,אוטומטי
453,אוטומטי
454,אוטומטי
455,אוטומטי
456,אוטומטי
457,אוטומטי
458,אוטומטי
459,אוטומטי
460,אוטומטי
461,אוטומטי
462,אוטומטי
463,אוטומטי
464,אוטומטי
465,אוטומטי
466,אוטומטי
467,אוטומטי
468,אוטומטי
469,אוטומטי
470,אוטומטי
471,אוטומטי
472,אוטומטי
473,אוטומטי
474,אוטומטי
475,אוטומטי
476,אוטומטי
477,אוטומטי
478,אוטומטי
479,אוטומטי
480,אוטומטי
481,אוטומטי
482,אוטומטי
483,אוטומטי
484,אוטומטי
485,אוטומטי
486,אוטומטי
487,אוטומטי
488,אוטומטי
489,אוטומטי
490,אוטומטי
491,אוטומטי
492,אוטומטי
493,אוטומטי
