,km
0,"55,000"
1,"84,971"
2,"27,000"
3,"11,000"
4,"220,000"
5,"86,000"
6,"85,000"
7,"22,830"
8,"65,894"
9,"36,400"
10,"140,000"
11,"51,626"
12,"40,000"
13,"85,000"
14,"28,361"
15,"134,000"
16,0
17,"55,000"
18,"58,000"
19,"72,220"
20,"110,000"
21,1
22,"100,000"
23,"145,000"
24,"66,000"
25,"140,000"
26,"60,000"
27,"59,157"
28,"121,500"
29,"150,000"
30,"175,000"
31,"125,000"
32,"118,000"
33,"62,851"
34,"40,353"
35,"6,500"
36,"90,000"
37,"100,000"
38,"24,000"
39,"79,000"
40,"220,000"
41,"2,000"
42,"125,000"
43,"152,244"
44,"118,000"
45,"148,000"
46,"53,287"
47,"85,000"
48,"155,000"
49,"33,500"
50,"160,779"
51,"48,000"
52,"24,000"
53,"84,000"
54,"44,000"
55,"35,745"
56,"115,000"
57,"108,000"
58,"8,450"
59,"168,000"
60,"127,000"
61,"35,000"
62,"129,000"
63,"60,000"
64,"42,000"
65,"16,000"
66,"131,500"
67,"125,000"
68,"72,000"
69,"195,000"
70,"63,000"
71,"39,000"
72,"4,000"
73,"65,000"
74,"93,000"
75,"44,000"
76,"60,000"
77,"106,000"
78,"9,000"
79,"125,000"
80,"75,949"
81,"32,000"
82,"210,000"
83,"10,000"
84,"8,000"
85,"25,380"
86,"108,000"
87,"61,739"
88,"170,000"
89,"140,000"
90,"80,000"
91,"126,000"
92,"24,000"
93,"87,000"
94,"171,000"
95,"85,000"
96,"79,000"
97,"142,000"
98,"2,700"
99,"55,000"
100,"130,000"
101,"132,000"
102,"45,000"
103,"94,000"
104,"51,000"
105,"72,833"
106,"128,783"
107,"160,000"
108,"88,000"
109,"39,000"
110,"110,000"
111,"200,000"
112,"72,121"
113,"95,000"
114,"101,726"
115,"147,000"
116,"127,791"
117,"97,000"
118,"102,000"
119,"150,000"
120,"6,600"
121,"83,000"
122,"23,000"
123,"99,000"
124,"124,130"
125,"62,000"
126,"74,789"
127,"37,100"
128,"31,529"
129,"130,000"
130,"104,000"
131,"56,000"
132,"136,000"
133,"131,200"
134,"2,189"
135,"10,000"
136,0
137,"160,000"
138,"134,000"
139,"124,000"
140,"49,000"
141,"170,000"
142,"144,000"
143,"80,000"
144,"68,900"
145,"17,000"
146,"100,000"
147,"25,000"
148,"118,000"
149,"155,000"
150,"31,343"
151,"114,000"
152,"34,000"
153,"134,000"
154,"148,000"
155,"70,000"
156,"91,915"
157,"140,000"
158,"200,000"
159,"140,000"
160,"70,759"
161,"64,545"
162,"22,000"
163,"35,767"
164,"137,000"
165,"235,000"
166,"350,000"
167,"99,000"
168,"19,000"
169,0
170,"152,131"
171,"12,000"
172,"46,000"
173,"119,660"
174,"40,500"
175,"70,000"
176,"78,000"
177,0
178,"125,000"
179,"140,000"
180,"46,000"
181,"130,000"
182,"130,000"
183,"130,000"
184,"79,685"
185,"46,000"
186,"27,000"
187,"46,000"
188,"110,691"
189,"15,000"
190,"18,000"
191,"79,000"
192,"27,000"
193,"135,000"
194,"55,799"
195,"140,000"
196,100
197,"122,278"
198,"68,421"
199,"7,000"
200,"185,000"
201,"119,000"
202,"140,000"
203,0
204,"58,317"
205,"160,000"
206,"120,000"
207,"36,260"
208,"175,000"
209,"134,000"
210,"220,000"
211,"130,000"
212,"200,000"
213,"112,000"
214,"130,000"
215,"153,500"
216,"130,000"
217,"70,000"
218,"140,000"
219,"28,000"
220,0
221,"104,850"
222,"46,316"
223,"44,637"
224,0
225,"120,000"
226,"103,000"
227,"49,354"
228,"99,000"
229,"50,000"
230,"129,033"
231,"130,000"
232,"37,000"
233,"80,000"
234,"56,000"
235,"59,000"
236,0
237,"122,000"
238,"400,000"
239,"237,000"
240,"160,000"
241,"268,000"
242,"99,000"
243,"100,000"
244,"68,000"
245,"5,000"
246,"11,000"
247,"264,000"
248,"27,279"
249,"38,000"
250,"92,000"
251,"2,000"
252,"129,000"
253,"146,000"
254,"134,000"
255,"229,000"
256,"130,000"
257,"190,000"
258,"32,000"
259,"156,000"
260,"29,000"
261,"140,000"
262,"3,000"
263,"137,000"
264,"34,000"
265,"19,833"
266,0
267,"20,000"
268,"79,000"
269,"90,000"
270,"120,000"
271,0
272,"78,691"
273,"160,000"
274,"250,000"
275,"22,000"
276,"60,000"
277,"84,000"
278,"128,000"
279,"127,000"
280,"240,000"
281,"129,094"
282,"143,000"
283,0
284,"154,200"
285,"169,000"
286,"144,000"
287,"80,000"
288,"18,000"
289,"52,000"
290,"150,000"
291,"220,000"
292,"125,000"
293,"98,000"
294,"116,000"
295,"94,000"
296,"85,871"
297,"102,000"
298,"90,979"
299,"134,400"
300,"13,000"
301,"64,000"
302,"102,000"
303,"60,889"
304,"120,000"
305,"38,735"
306,"249,000"
307,"77,777"
308,"133,000"
309,0
310,"37,561"
311,"144,000"
312,"90,000"
313,"220,000"
314,"95,000"
315,"88,000"
316,"38,666"
317,"1,800"
318,"110,000"
319,"65,034"
320,"135,000"
321,"180,000"
322,"65,000"
323,"117,000"
324,0
325,"124,000"
326,"28,038"
327,"73,500"
328,"130,000"
329,"84,000"
330,0
331,0
332,"38,000"
333,"101,000"
334,"58,000"
335,"37,000"
336,"66,738"
337,"60,000"
338,"75,167"
339,"84,122"
340,"32,000"
341,"17,000"
342,"74,000"
343,"20,000"
344,"69,800"
345,"20,000"
346,"45,000"
347,"54,000"
348,"147,000"
349,"130,000"
350,"124,000"
351,0
352,"6,363"
353,"92,000"
354,"124,000"
355,"205,000"
356,"70,000"
357,"65,000"
358,"76,000"
359,"202,000"
360,"86,000"
361,"86,042"
362,"50,000"
363,"140,000"
364,"130,000"
365,"23,000"
366,"121,594"
367,"32,985"
368,"133,000"
369,"72,728"
370,"100,000"
371,"47,121"
372,"57,507"
373,"97,000"
374,"170,000"
375,"204,080"
376,0
377,"124,000"
378,"32,000"
379,"92,996"
380,"85,000"
381,"149,000"
382,"144,000"
383,0
384,"138,000"
385,"154,000"
386,"120,000"
387,"440,000"
388,"140,000"
389,"21,000"
390,"123,000"
391,"210,000"
392,"108,000"
393,"22,395"
394,"107,000"
395,"72,909"
396,"110,000"
397,"40,000"
398,"36,000"
