,0
0,https://carwiz.co.il/used-cars/0c751bb2-8707-4526-8412-b1320912ad3b/2021-%D7%A1%D7%A7%D7%95%D7%93%D7%94-%D7%90%D7%95%D7%A7%D7%98%D7%91%D7%99%D7%94
1,https://carwiz.co.il/used-cars/81dcc6b9-fe94-4f8c-9897-33c34ab3fda2/2020-%D7%A7%D7%99%D7%94-%D7%A1%D7%A4%D7%95%D7%A8%D7%98%D7%96'
2,https://carwiz.co.il/used-cars/0440603c-d231-4cfc-b6a0-a8cfcb7e7182/2020-MG-ZS
3,https://carwiz.co.il/used-cars/42a0beb4-8351-430b-b304-d38e289a3e1b/2010-%D7%A1%D7%95%D7%96%D7%95%D7%A7%D7%99-SX4
4,https://carwiz.co.il/used-cars/066b775a-9553-476e-bd83-cebc2a03dab9/2019-%D7%A1%D7%A7%D7%95%D7%93%D7%94-%D7%90%D7%95%D7%A7%D7%98%D7%91%D7%99%D7%94
5,https://carwiz.co.il/used-cars/675d739e-807d-429a-975c-8cc009a3f867/2020-%D7%A1%D7%95%D7%96%D7%95%D7%A7%D7%99-%D7%95%D7%99%D7%98%D7%90%D7%A8%D7%94
6,https://carwiz.co.il/used-cars/67ae9947-3916-4e28-84df-bb19c8929176/2020-%D7%A7%D7%99%D7%94-%D7%A1%D7%98%D7%95%D7%A0%D7%99%D7%A7
7,https://carwiz.co.il/used-cars/84cc63c3-78b6-46ff-83f6-223d758cf6fa/2020-%D7%9E%D7%99%D7%A6%D7%95%D7%91%D7%99%D7%A9%D7%99-%D7%90%D7%90%D7%95%D7%98%D7%9C%D7%A0%D7%93%D7%A8
8,https://carwiz.co.il/used-cars/ee58f181-e8fe-4eb4-a7e1-91cfcfcc3651/2020-%D7%A1%D7%95%D7%96%D7%95%D7%A7%D7%99-%D7%95%D7%99%D7%98%D7%90%D7%A8%D7%94
9,https://carwiz.co.il/used-cars/65ca34e4-ad15-4fa4-b3e4-5bdc175bbe44/2016-%D7%99%D7%95%D7%A0%D7%93%D7%90%D7%99-%D7%98%D7%95%D7%A1%D7%95%D7%9F
10,https://carwiz.co.il/used-cars/9333cedc-4e30-4c2f-8eb2-ff34629459c8/2015-%D7%9E%D7%96%D7%93%D7%94-3
11,https://carwiz.co.il/used-cars/015b3a12-bbc4-4941-88bc-7e143c6bb5b5/2022-%D7%A7%D7%99%D7%94-%D7%A1%D7%9C%D7%98%D7%95%D7%A1
12,https://carwiz.co.il/used-cars/ed03e8a5-a6fd-4e8e-91a0-1c4366e14dab/2015-%D7%A0%D7%99%D7%A1%D7%90%D7%9F-%D7%A7%D7%A9%D7%A7%D7%90%D7%99
13,https://carwiz.co.il/used-cars/3766fe95-ca68-47b0-884e-18c0ca92fcae/2022-%D7%A1%D7%A7%D7%95%D7%93%D7%94-%D7%90%D7%95%D7%A7%D7%98%D7%91%D7%99%D7%94
14,https://carwiz.co.il/used-cars/d9dc5b83-5b00-4eb2-9216-ea8d13381483/2022-%D7%A7%D7%99%D7%94-%D7%A0%D7%99%D7%A8%D7%95
15,https://carwiz.co.il/used-cars/a1c63b26-b2c2-4d44-b717-398169e0cb7a/2020-%D7%99%D7%95%D7%A0%D7%93%D7%90%D7%99-%D7%98%D7%95%D7%A1%D7%95%D7%9F
16,https://carwiz.co.il/used-cars/68b09d4a-70ec-4cd1-a62a-308e2a87e130/2022-%D7%99%D7%95%D7%A0%D7%93%D7%90%D7%99-I10
17,https://carwiz.co.il/used-cars/af19c14c-f9db-4382-b217-00fe078806a4/2016-%D7%A1%D7%A7%D7%95%D7%93%D7%94-%D7%90%D7%95%D7%A7%D7%98%D7%91%D7%99%D7%94
