,city
0,עפולה
1,מאיפה שנוח לך בארץ
2,לוד
3,נתניה
4,כפר סבא
5,פתח תקווה
6,נתניה
7,ירכא
8,ראשון לציון
9,תל אביב יפו
10,נתניה
11,כרמיאל
12,בת ים
13,נתניה
14,חיפה
15,פרדס חנה כרכור
16,נתניה
17,חולון
18,חיפה
19,נתניה
20,קרית אתא
21,איכסאל
22,תל אביב
23,רעננה
24,חולון
25,חולון
26,ראשון לציון
27,חדרה
28,קרית אתא
29,ירושלים
30,ראשון לציון
31,נתניה
32,חיפה
33,ראשון לציון
34,רמת השרון
35,עפולה
36,רמת השרון
37,חיפה
38,ירכא
39,אזור
40,עפולה
41,אבן יהודה
42,נתניה
43,לוד
44,חדרה
45,ראשון לציון
46,חיפה
47,רמת השרון
48,פתח תקווה
49,נתניה
50,חיפה
51,עפולה
52,באר שבע
53,עיספיא
54,ראשון לציון
55,ראשון לציון
56,פתח תקווה
57,חיפה
58,עפולה
59,עפולה
60,פתח תקווה
61,נתניה
62,קרית שמונה
63,חיפה
64,נתניה
65,חיפה
66,חיפה
67,ראשון לציון
68,נוף הגליל
69,נתניה
70,פרדס חנה כרכור
71,חיפה
72,קרית שמונה
73,חיפה
74,רמת גן
75,חולון
76,ראשון לציון
77,קרית שמונה
78,תל אביב יפו
79,נתניה
80,ראשון לציון
81,כרמיאל
82,ראשון לציון
83,ראשון לציון
84,נתניה
85,נתניה
86,רמת השרון
87,קרית שמונה
88,פתח תקווה
89,ירושלים
90,חיפה
91,נתיבות
92,תל אביב יפו
93,שפרעם
94,חיפה
95,רמת גן
96,נתניה
97,פתח תקווה
98,ראשון לציון
99,תל אביב יפו
100,פתח תקווה
101,נתיבות
102,רמת השרון
103,פתח תקווה
104,ראשון לציון
105,פתח תקווה
106,ירושלים
107,לוד
108,נתניה
109,קרית שמונה
110,חיפה
111,מאיפה שנוח לך בארץ
112,חיפה
113,רמת השרון
114,נתניה
115,חדרה
116,חולון
117,ירושלים
118,ראשון לציון
119,ירכא
120,נתניה
121,ירכא
122,כפר חסידים א'
123,חדרה
124,קרית שמונה
125,עפולה
126,ירכא
127,חיפה
128,חיפה
129,רעננה
130,ראשון לציון
131,נתניה
132,כפר סבא
