,color
0,אפור מטל
1,לבן
2,שחור
3,שחור מטלי
4,אפור
5,שחור מטלי
6,שנהב לבן
7,שחור
8,שחור
9,שחור
10,שחור
11,כסוף
12,כסף
13,שנהב לבן
14,חום בהיר
15,אפור מטל
16,שנהב לבן
17,שנהב לבן
18,כסף מטלי
19,שחור מטאלי
20,שנהב לבן
21,שנהב לבן
22,שחור מטלי
23,כסף
24,שנהב לבן
25,אפור כהה מטלי
26,שנהב לבן
27,לבן
28,אפור מטל
29,קפה מטאלי
30,שנהב לבן
31,שנהב לבן
32,לבן
33,שנהב לבן
34,לבן
35,אפור
36,שנהב לבן
37,כסף מטלי
38,שנהב לבן
39,אפור כהה
40,אפור
41,כסף מטלי
42,לבן
43,אפור כהה
44,אפור מטאלי
45,שנהב לבן
46,אפור מטל
47,שנהב לבן
48,אפור מטל
49,שנהב לבן
50,תכלת
51,אפור מטל
52,אפור מטל
53,שנהב לבן
54,שנהב לבן
55,שחור מטלי
56,כסף מטלי
57,שנהב לבן
58,שחור
59,בורדו מטל
60,שחור מטלי
61,אפור מטל
62,שנהב לבן
63,כסף
64,שחור
65,שנהב לבן
66,אפור
67,שנהב לבן
68,שנהב לבן
69,שנהב לבן
70,תכלת מטאלי
71,אפור מטל
72,כסוף בהיר
73,שחור
74,שנהב לבן
75,אפור כהה מטלי
76,כסוף כהה מטלי
77,שנהב לבן
78,שחור
79,שחור
80,שנהב לבן
81,כסוף
82,שנהב לבן
83,שנהב לבן
84,שחור מטלי
85,כסף
86,ברונזה
87,אפור מטל
88,שנהב לבן
89,שנהב לבן
90,בז מטאלי
91,שנהב לבן
92,אדום
93,שנהב לבן
94,כסף
95,אפור מטל
96,לבן
97,שנהב לבן
98,שנהב לבן
99,אפור
100,כסף
101,שחור
102,שחור
103,שנהב לבן
104,כסף מטלי
105,אפור כהה
106,אפור בהיר מטלי
107,שחור
108,שנהב לבן
109,שחור מטלי
110,לבן
111,לבן
112,שחור מטלי
113,לבן
114,שנהב לבן
115,לבן
116,בורדו
117,אפור כהה
118,אדום
119,אפור
120,שנהב לבן
121,כסף
122,שנהב לבן
123,לבן
124,שנהב לבן
125,שנהב לבן
126,אפור כהה מטלי
127,שנהב לבן
128,שנהב לבן
129,שנהב לבן
130,אפור
131,שנהב לבן
132,אפור
133,שנהב לבן
134,שנהב לבן
135,שנהב לבן
136,לבן
137,בז מטאלי
138,שנהב לבן
139,בז מטאלי
140,כסוף כהה
141,שנהב לבן
142,כסף מטלי
143,כסף מטלי
144,שנהב לבן
145,קרם
146,אפור
147,שנהב לבן
148,שנהב לבן
149,שנהב לבן
150,שנהב לבן
151,שנהב לבן
152,שנהב לבן
153,לבן
