,km
0,"55,000"
1,"84,971"
2,"27,000"
3,"11,000"
4,"220,000"
5,"86,000"
6,"85,000"
7,"22,830"
8,"65,894"
9,"36,400"
10,"140,000"
11,"51,626"
12,"40,000"
13,"85,000"
14,"28,361"
15,"134,000"
16,0
17,"55,000"
18,"58,000"
19,"72,220"
20,"110,000"
21,1
22,"100,000"
23,"145,000"
24,"66,000"
25,"140,000"
26,"60,000"
27,"59,157"
28,"121,500"
29,"150,000"
30,"175,000"
31,"125,000"
32,"118,000"
33,"62,851"
34,"40,353"
35,"6,500"
36,"20,000"
37,"90,000"
38,"100,000"
39,"24,000"
40,"79,000"
41,"220,000"
42,"2,000"
43,"125,000"
44,"152,244"
45,"118,000"
46,"148,000"
47,"53,287"
48,"85,000"
49,"155,000"
50,"33,500"
51,"160,779"
52,"48,000"
53,"24,000"
54,"84,000"
55,"44,000"
56,"35,745"
57,"115,000"
58,"108,000"
59,"8,450"
60,"168,000"
61,"127,000"
62,"35,000"
63,"129,000"
64,"60,000"
65,"42,000"
66,"16,000"
67,"131,500"
68,"125,000"
69,"72,000"
70,"195,000"
71,"63,000"
72,"39,000"
73,"4,000"
74,"65,000"
75,"93,000"
76,"44,000"
77,"60,000"
78,"106,000"
79,"9,000"
80,"125,000"
81,"75,949"
82,"32,000"
83,"210,000"
84,"10,000"
85,"8,000"
86,"25,380"
87,"108,000"
88,"61,739"
89,"170,000"
90,"140,000"
91,"80,000"
92,"126,000"
93,"87,000"
94,"171,000"
95,"85,000"
96,"79,000"
97,"2,700"
98,"55,000"
99,"130,000"
100,"132,000"
101,"45,000"
102,"94,000"
103,"51,000"
104,"72,833"
105,"128,783"
106,"160,000"
107,"88,000"
108,"39,000"
109,"110,000"
110,"200,000"
111,"72,121"
112,"95,000"
113,"101,726"
114,"147,000"
115,"127,791"
116,"97,000"
117,"102,000"
118,"150,000"
119,"6,600"
120,"83,000"
121,"23,000"
122,"99,000"
123,"124,130"
124,"62,000"
125,"74,789"
126,"37,100"
127,"31,529"
128,"130,000"
129,"104,000"
130,"56,000"
131,"136,000"
132,"131,200"
133,"2,189"
134,"10,000"
135,0
136,"160,000"
137,"134,000"
138,"124,000"
139,"49,000"
140,"170,000"
141,"144,000"
142,"80,000"
143,"68,900"
144,"17,000"
145,"100,000"
146,"25,000"
147,"63,000"
148,"118,000"
149,"155,000"
150,"31,343"
151,"114,000"
152,"95,000"
153,"34,000"
154,"134,000"
155,"148,000"
156,"70,000"
157,"91,915"
158,"140,000"
159,"200,000"
160,"140,000"
161,"70,759"
162,"64,545"
163,"22,000"
164,"137,000"
165,"235,000"
166,"350,000"
167,"99,000"
168,"19,000"
169,0
170,"152,131"
171,"12,000"
172,"46,000"
173,"119,660"
174,"40,500"
175,"70,000"
176,"78,000"
177,0
178,"125,000"
179,"140,000"
180,"46,000"
181,"130,000"
182,"130,000"
183,"130,000"
184,"79,685"
185,"46,000"
186,"27,000"
187,"46,000"
188,"110,691"
189,"15,000"
190,"18,000"
191,"79,000"
192,"27,000"
193,"135,000"
194,"55,799"
195,"140,000"
196,100
197,"122,278"
198,"68,421"
199,"7,000"
200,"185,000"
201,"119,000"
202,"140,000"
203,0
204,"58,317"
205,"160,000"
206,"120,000"
207,"36,260"
208,"175,000"
209,"134,000"
210,"220,000"
211,"130,000"
212,"200,000"
213,"112,000"
214,"130,000"
215,"153,500"
216,"130,000"
217,"70,000"
218,"140,000"
219,"28,000"
220,0
221,"104,850"
222,"46,316"
223,"44,637"
224,0
225,"120,000"
226,"103,000"
227,"99,000"
228,"50,000"
229,"129,033"
230,"130,000"
231,"37,000"
232,"80,000"
233,"56,000"
234,"59,000"
235,0
236,"122,000"
237,"400,000"
238,"237,000"
239,"160,000"
240,"268,000"
241,"99,000"
242,"100,000"
243,"68,000"
244,"5,000"
245,"11,000"
246,"264,000"
247,"27,279"
248,"38,000"
249,"92,000"
250,"2,000"
251,"129,000"
252,"146,000"
253,"134,000"
254,"229,000"
255,"130,000"
256,"190,000"
257,"32,000"
258,"156,000"
259,"29,000"
260,"140,000"
261,"3,000"
262,"137,000"
263,"34,000"
264,"19,833"
265,0
266,"20,000"
267,"79,000"
268,"90,000"
269,"120,000"
270,0
271,"78,691"
272,"160,000"
273,"250,000"
274,"22,000"
275,"60,000"
276,"84,000"
277,"128,000"
278,"127,000"
279,"240,000"
280,"129,094"
281,"143,000"
282,0
283,"154,200"
284,"169,000"
285,"144,000"
286,"80,000"
287,"18,000"
288,"52,000"
289,"150,000"
290,"220,000"
291,"125,000"
292,"98,000"
293,"116,000"
294,"94,000"
295,"85,871"
296,"102,000"
297,"90,979"
298,"134,400"
299,"13,000"
300,"64,000"
301,"102,000"
302,"60,889"
303,"120,000"
304,"38,735"
305,"249,000"
306,"77,777"
307,"133,000"
308,0
309,"37,561"
310,"144,000"
311,"90,000"
312,"220,000"
313,"95,000"
314,"88,000"
315,"38,666"
316,"1,800"
317,"110,000"
318,"65,034"
319,"135,000"
320,"180,000"
321,"65,000"
322,"117,000"
323,0
324,"124,000"
325,"28,038"
326,"73,500"
327,"130,000"
328,"84,000"
329,0
330,0
331,"38,000"
332,"101,000"
333,"58,000"
334,"37,000"
335,"60,000"
336,"75,167"
337,"84,122"
338,"32,000"
339,"17,000"
340,"74,000"
341,"20,000"
342,"69,800"
343,"20,000"
344,"45,000"
345,"54,000"
346,"147,000"
347,"130,000"
348,"124,000"
349,0
350,"6,363"
351,"92,000"
352,"124,000"
353,"205,000"
354,"70,000"
355,"65,000"
356,"76,000"
357,"202,000"
358,"86,000"
359,"86,042"
360,"50,000"
361,"140,000"
362,"130,000"
363,"23,000"
364,"121,594"
365,"32,985"
366,"133,000"
367,"72,728"
368,"100,000"
369,"47,121"
370,"97,000"
371,"170,000"
372,"204,080"
373,0
374,"124,000"
375,"32,000"
376,"92,996"
377,"85,000"
378,"149,000"
379,"144,000"
380,0
381,"138,000"
382,"154,000"
383,"120,000"
384,"440,000"
385,"140,000"
386,"21,000"
387,"123,000"
388,"210,000"
389,"108,000"
390,"22,395"
391,"107,000"
392,"72,909"
393,"110,000"
394,"122,000"
395,"40,000"
396,"36,000"
397,"150,000"
398,"35,397"
