,owner_num
0,4
1,1
2,3
3,1
4,2
5,1
6,1
7,2
8,2
9,1
10,1
11,1
12,1
13,1
14,1
15,2
16,1
17,1
18,2
19,1
20,1
21,1
22,1
23,1
24,2
25,2
26,1
27,1
28,2
29,2
30,3
31,2
32,2
33,3
34,1
35,1
36,1
37,1
38,2
39,1
40,2
41,1
42,2
43,3
44,2
45,3
46,2
47,2
48,1
49,4
50,1
51,2
52,3
53,1
54,1
55,2
56,1
57,2
58,3
59,1
60,3
61,2
62,2
63,2
64,2
65,2
66,1
67,1
68,1
69,3
70,2
71,1
72,2
73,1
74,2
75,4
76,1
77,1
78,1
79,1
80,2
81,1
82,1
83,1
84,2
85,1
86,1
87,2
88,1
89,2
90,5
91,1
92,2
93,2
94,2
95,2
96,1
97,1
98,2
99,1
100,2
101,1
102,1
103,1
104,2
105,1
106,5
107,1
108,4
109,1
110,4
111,1
112,3
113,2
114,5
115,1
116,1
117,2
118,2
119,1
120,1
121,2
122,1
123,1
124,1
125,1
126,1
127,1
128,2
129,1
130,1
131,1
132,2
133,1
134,1
135,1
136,1
137,3
138,2
139,1
140,3
141,2
142,1
143,1
144,1
145,3
146,1
147,2
148,1
149,1
150,1
151,1
152,1
153,2
154,2
155,2
156,1
157,2
158,1
159,2
160,4
161,3
162,1
163,2
164,1
165,2
166,2
167,2
168,1
169,1
170,1
171,1
172,2
173,2
174,2
175,1
176,1
177,1
178,1
179,2
180,3
181,1
182,3
183,2
184,1
185,1
186,2
187,2
188,1
189,1
190,2
191,1
192,1
193,2
194,1
195,2
196,1
197,1
198,1
199,1
200,1
201,1
202,2
203,1
204,2
205,1
206,3
207,1
208,3
209,2
210,2
211,1
212,2
213,2
214,1
215,2
216,2
217,1
218,4
219,1
220,1
221,1
222,2
223,2
224,1
225,3
226,1
227,2
228,1
229,1
230,1
231,1
232,1
233,2
234,1
235,1
236,1
237,2
238,2
239,2
240,3
241,1
242,1
243,1
244,1
245,1
246,2
247,1
248,2
249,1
250,1
251,1
252,2
253,2
254,1
255,1
256,1
257,1
258,2
259,1
260,1
261,2
262,2
263,1
264,1
265,1
266,1
267,1
268,1
269,2
270,1
271,1
272,2
273,3
274,2
275,1
276,2
277,3
278,2
279,2
280,2
281,1
282,1
283,2
284,1
285,1
286,1
287,1
288,1
289,2
290,2
291,3
292,1
293,2
294,1
295,1
296,2
297,2
298,2
299,1
300,2
301,1
302,1
303,2
304,1
305,2
306,2
307,1
308,1
309,1
310,2
311,1
312,3
313,2
314,2
315,1
316,1
317,2
318,2
319,1
320,1
321,1
322,2
323,1
324,1
325,1
326,1
327,2
328,2
329,1
330,1
331,1
332,1
333,1
334,1
335,1
336,1
337,1
338,2
339,1
340,1
341,2
342,1
343,1
344,2
345,1
346,2
347,2
348,1
349,1
350,1
351,1
352,3
353,2
354,3
355,2
356,1
357,2
358,1
359,2
360,1
361,3
362,1
363,1
364,1
365,2
366,2
367,3
368,1
369,2
370,4
371,2
372,1
373,1
374,2
375,2
376,1
377,1
378,1
379,2
380,1
381,1
382,2
383,2
384,2
385,2
386,2
387,2
388,4
389,1
390,1
391,1
392,1
393,2
394,1
395,1
396,1
397,2
398,1
399,2
400,4
401,2
402,3
403,1
404,1
405,3
406,2
407,1
408,1
409,1
410,1
411,1
412,1
413,2
414,2
415,1
416,1
417,1
418,1
419,1
420,1
421,1
422,2
423,1
424,1
425,1
426,1
427,1
428,1
429,1
430,4
431,2
432,1
433,1
434,1
435,1
436,3
437,2
438,1
439,4
440,1
441,2
442,2
443,2
444,2
445,2
446,1
447,2
448,1
449,1
450,1
451,1
452,1
453,2
454,1
455,2
456,3
457,1
458,2
459,1
460,3
461,2
462,1
463,2
464,1
465,2
466,1
467,1
468,1
469,1
470,1
471,1
472,1
473,3
474,2
475,2
476,4
477,1
478,1
479,2
480,1
481,1
482,1
483,1
484,1
485,2
486,2
487,1
488,2
489,2
490,2
491,1
492,2
493,2
494,1
495,2
496,2
497,1
498,1
499,1
500,3
501,1
502,3
503,1
504,1
505,2
506,3
507,2
508,1
509,1
510,1
511,1
512,1
513,2
514,1
515,2
516,1
517,1
518,3
519,1
520,2
521,1
522,2
523,2
524,2
525,1
526,1
527,1
528,1
529,1
530,1
531,3
532,1
