,version
0,מזדה CX-5 CX-5 PREMIUM
1,יונדאי טוסון TUCSON PRIME PLUS
2,קיה ספורטז' SPORTAGE URBAN
3,שברולט ספארק SPARK LT PLUS
4,אופל אסטרה ASTRA ENJOY
5,פולקסווגן טיגואן TIGUAN LIFE PLUS
6,יונדאי איוניק HYBRID PREMIUM
7,מרצדס E קלאס E200 AVANTGARDE
8,טויוטה קורולה HSD SDN SUN
9,יונדאי I20 I20 PRIME
10,יונדאי סונטה HYBRID PREMIUM
11,מזדה 3 MAZDA 3 COMFORT
12,קיה סטוניק STONIC PREMIUM
13,קיה סטוניק STONIC LX
14,מיצובישי אאוטלנדר OUTLANDER INSTYLE
15,אופל מריבה MERIVA ENJOY
16,ג'יפ רנגלר JEEP WRANGLER ITED RUBICON
17,לקסוס RX 350 PREMIUM
18,רנו מגאן MEGANE INTENSE
19,ניסאן X TRAIL X-TRAIL ACENTA
20,מזדה 3 MAZDA 3 COMFORT
21,קיה נירו NIRO PLUS EV EV
22,מרצדס S קלאס S 560 E S560E SEDAN
23,מיצובישי אאוטלנדר OUTLANDER INTENSE
24,לנד רובר רינג' רובר ספורט SPORT PHEV HSE DYN
25,אאודי Q5 Q5 LUXURY
26,קיה סטוניק STONIC EX
27,סיאט איביזה IBIZA REFERENCE
28,סוזוקי אלטו ALTO GLX
29,סקודה אוקטביה OCTAVIA ELEGANCE
30,ב מ וו סדרה 3 316I BUSINESS
31,אאודי Q2 Q2 ICON LUXURY
32,סובארו פורסטר FORESTER 2.0X
33,טויוטה C-HR HYBRID LOUNGE-P
34,קיה סורנטו SORENTO URBAN
35,קיה פיקנטו PICANTO LX
36,אופל קורסה CORSA ELEGANCE
37,פולקסווגן גולף GOLF TRENDLINE
38,שברולט ספארק SPARK LT
39,שברולט אקוינוקס EQUINOX LT PLUS
40,יונדאי טוסון TUCSON OPEN SKY
41,פורד אדג' EDGE SEL PLUS
42,מרצדס A קלאס 180 AMG LINE FLT
43,סובארו XV XV 1.6I
44,ניסאן X TRAIL X-TRAIL ACENTA
45,פיאט 500 1.2 POP
46,סקודה אוקטביה OCTAVIA AMBITION
47,סיטרואן C3 C3 FEEL PACK
48,שברולט טרוורס TRAVERSE LT
49,מיצובישי אאוטלנדר OUTLANDER ELITE
50,MG ZS EV NET-UP S
51,אופל אסטרה ASTRA ENJOY PLUS
52,ניסאן X TRAIL X-TRAIL ACENTA LE
53,שברולט קמארו CAMARO 1LT
54,סוזוקי סוויפט SWIFT GLX
55,רנו קליאו CLIO EX PACK PLUS
56,פורד קוגה KUGA TREND X
57,קיה פיקנטו PICANTO LX
58,יונדאי I30 I30 PREMIUM
59,יונדאי וניו VENUE INSPIRE
60,ניסאן קשקאי QASHQAI ACENTA
61,סקודה סופרב SUPERB AMBITION
62,מרצדס GLA קלאס GLA200 EXCLUSIV FLT
63,פיג'ו 208 208 ACCESS
64,שברולט ספארק SPARK LT
65,דאציה סנדרו SANDERO LAUREATE
66,מיצובישי ספייס סטאר SPACE STAR SUPREME
67,קיה ספורטז' SPORTAGE EX
68,קיה ספורטז' SPORTAGE URBAN
69,אאודי Q7 Q7 LUXURY
70,יונדאי I10 I10 PREMIUM
71,שברולט קרוז CRUZE LT
72,מיני קופר JCW CHILLI
73,סובארו פורסטר FORESTER SPORT
74,סיטרואן ברלינגו BERLINGO COMFORT
75,רנו קליאו CLIO EX PACK PLUS
76,טויוטה קורולה HSD SDN SUN
77,סיאט איביזה IBIZA REFERENCE
78,קיה ספורטז' SPORTAGE URBAN
79,מרצדס EQC 400 4MATIC AMG
80,פיאט טיפו FIAT TIPO COMFORT
81,יונדאי טוסון TUCSON PRIME PLUS
82,סוזוקי סוויפט SWIFT GLX
83,סיטרואן ג'מפי JUMPY L1-H1/10K
84,סקודה קודיאק KODIAQ STYLE
85,יונדאי I20 I20 PRESTIGE
86,יונדאי טוסון TUCSON LUXURY
87,סקודה סופרב SUPERB AMBITION
88,פיג'ו 3008 3008 PREMIUM
89,סיטרואן ברלינגו BERLINGO MAXI
90,יונדאי I10 I10 GL
91,קיה ספורטז' SPORTAGE URBAN
92,מרצדס CLA קלאס CLA180 URBAN FL
93,מזדה CX-5 CX-5 EXECUTIVE
94,מיצובישי אאוטלנדר OUTLANDER INSTYLE
95,ניסאן אלמרה ALMERA SV
96,ניסאן סנטרה SENTRA SR
97,פולקסווגן גולף GOLF LIFE PLUS
98,יונדאי קונה HYBRID PREMIUM
99,מזדה CX-5 CX-5 EXECUTIVE
100,סובארו פורסטר FORESTER X
101,פיאט דובלו FIAT DOBLO COMBI
102,סוזוקי ויטארה VITARA GLX 2T
103,מיצובישי אקליפס קרוס ECLIPSE CROSS PREMIUM
104,טויוטה קורולה HSD SDN SUN
105,סובארו פורסטר FORESTER 2.0X
106,הונדה סיוויק CIVIC COMFORT AT
107,יונדאי I20 I20 PRESTIGE
108,ב מ וו X1 XDRIVE25E M-SPORT
109,שברולט ספארק SPARK LT
110,אופל אסטרה ASTRA ENJOY
111,ניסאן מיקרה MICRA VISIA
112,דאציה סנדרו SANDERO LAUREATE
113,מזדה CX-5 CX-5 EXECUTIVE
114,סיאט לאון LEON FR
115,יונדאי איוניק HYBRID PREMIUM
116,סיאט לאון LEON FR
117,מזדה 3 MAZDA 3 SPORT
118,ניסאן X TRAIL X-TRAIL TEKNA
119,ג'יפ רנגלר JEEP WRANGLER SPORT S
120,סובארו XV XV CROSSTYLE
121,מזדה 3 MAZDA 3 SPIRIT
122,רנו מגאן MEGANE INTENSE
123,ניסאן קשקאי QASHQAI ACENTA
124,מיצובישי אאוטלנדר OUTLANDER INSTYLE
125,סיאט לאון LEON FR
126,מרצדס C קלאס C300 AMG FLT FL
127,קיה ספורטז' SPORTAGE URBAN
128,רנו קאדג'ר KADJAR ZEN
129,מזדה 3 MAZDA 3 SPORT
130,יונדאי טוסון TUCSON PANORAMIC
131,סקודה אוקטביה OCTAVIA AMBITION
132,מיצובישי אאוטלנדר OUTLANDER INTENSE
133,מרצדס C קלאס C300 AMG SPORT
134,מרצדס GLC 200 4MATIC AMG LINE FLT
135,ב מ וו סדרה 5 530E M-DESIGN SE
136,רנו גראנד קופה COUPE ZEN
137,רנו פלואנס FLUENCE COMFORT
138,יונדאי טוסון TUCSON OPEN SKY
139,יונדאי טוסון TUCSON PREMIUM
140,קיה פיקנטו PICANTO EX
141,פיג'ו 3008 3008 ACTIVE
142,מיצובישי ASX ASX INTENSE
143,סוזוקי בלנו BALENO GLX
