,price,year,km,owner_num,gear_type,nxt_test,test_cost,version_num,color_num,engine_num,location_num
0,138000,2018,55000,4,0,6,2019,363,13,82,32
2,115000,2018,27000,3,0,4,1835,735,65,84,21
4,20000,2012,220000,2,0,4,1262,47,6,53,19
5,143000,2021,86000,1,0,11,2417,642,67,39,35
6,97000,2019,85000,1,0,4,1604,283,70,44,28
7,313800,2020,22830,2,0,11,3357,431,65,71,16
8,112900,2019,65894,2,0,1,1604,241,65,60,38
9,75900,2019,36400,1,0,9,1102,265,65,150,48
11,100900,2019,51626,1,0,11,1604,341,40,82,20
12,96000,2019,40000,1,0,3,1353,726,46,150,7
13,96300,2020,85000,1,0,4,1529,725,70,150,28
14,142900,2019,28361,1,0,1,2019,380,24,82,12
17,209000,2017,55000,1,0,7,3357,330,70,129,11
18,94000,2020,58000,2,0,12,1604,750,49,29,12
19,143560,2021,72220,1,0,12,2417,464,66,13,28
20,127500,2020,110000,1,0,8,1811,341,70,82,36
21,199000,2022,1,1,0,7,2417,716,70,152,3
23,103000,2017,145000,1,0,7,2019,381,46,82,44
24,452000,2019,66000,2,0,7,3357,324,70,81,11
25,79000,2013,140000,2,0,4,2397,39,10,68,11
26,86990,2019,60000,1,0,2,1353,723,70,150,38
27,78900,2020,59157,1,0,11,1102,544,53,151,10
28,19000,2015,121500,2,1,4,985,524,13,149,36
31,132000,2018,125000,2,0,5,2019,26,70,151,28
32,105900,2018,118000,2,0,3,2019,511,53,76,12
33,114900,2019,62851,3,0,4,1835,188,70,60,38
34,197900,2021,40353,1,0,2,3366,722,53,103,43
36,96900,2021,20000,1,0,1,1529,57,70,4,43
38,52000,2016,100000,2,0,2,985,791,70,28,16
39,142000,2021,24000,1,0,11,2417,776,9,33,2
40,106900,2016,79000,2,0,3,1693,295,6,84,32
41,55000,2013,220000,1,0,1,1962,654,49,131,0
42,261803,2022,2000,2,0,3,3366,400,53,13,28
43,70000,2016,125000,3,0,3,1424,499,9,56,21
44,86900,2016,152244,2,0,3,1693,464,12,54,10
46,58500,2016,148000,2,0,6,1424,584,13,2,12
49,72000,2013,155000,4,0,8,1693,379,70,82,28
50,120900,2020,33500,1,0,11,1604,3,71,152,12
51,37000,2016,160779,2,0,4,1424,48,13,28,32
52,95000,2017,48000,3,0,8,2019,465,13,54,6
53,285000,2021,24000,1,0,5,3366,797,70,82,31
54,71900,2018,84000,1,0,2,1102,534,70,6,38
55,54900,2016,44000,2,0,3,1205,761,67,2,38
56,107900,2020,35745,1,0,11,1835,668,49,39,35
57,60000,2019,115000,2,0,3,1102,740,70,7,12
60,39000,2011,168000,3,0,2,1427,483,67,79,35
61,100000,2017,127000,2,0,8,2019,599,13,60,28
64,57000,2017,60000,2,0,3,1102,791,65,28,28
65,55900,2020,42000,2,0,7,1235,148,70,146,12
66,57000,2021,16000,1,0,3,1235,396,6,1,12
67,71900,2015,131500,1,0,11,1693,730,70,82,38
70,30999,2014,195000,2,0,2,985,257,72,150,34
72,199999,2019,39000,2,0,1,2563,370,41,82,37
73,199500,2022,4000,1,0,4,2417,514,65,104,12
75,43000,2017,93000,4,0,11,1205,761,10,29,11
77,82000,2019,60000,1,0,8,1102,544,70,151,37
78,79900,2018,106000,1,0,3,1604,735,65,49,48
79,495000,2022,9000,1,0,11,4731,439,65,152,28
80,37900,2017,125000,2,0,11,1205,678,70,53,38
81,115900,2019,75949,1,0,5,1835,300,40,84,20
84,245000,2022,10000,2,0,4,3366,622,67,65,28
85,105900,2022,8000,1,0,4,1529,264,46,150,28
86,164900,2021,25380,1,0,7,2417,294,21,53,43
87,154989,2019,108000,2,0,4,2019,599,13,39,37
88,125900,2018,61739,1,0,12,2019,694,70,53,35
89,52000,2016,170000,2,1,6,1424,574,70,43,15
92,124900,2017,126000,2,0,1,2563,424,0,50,48
93,125000,2018,87000,2,0,4,2019,361,70,82,46
94,73000,2015,171000,2,0,4,1693,380,46,82,12
95,42900,2016,85000,2,0,1,1205,469,13,53,42
96,87203,2020,79000,1,0,4,1811,480,53,60,28
98,130000,2021,55000,2,0,10,1811,314,70,44,38
99,91000,2016,130000,1,0,11,1693,361,6,82,48
100,79900,2015,132000,2,0,1,1693,515,46,76,35
102,79900,2016,94000,1,0,4,1424,529,65,47,43
104,113900,2019,72833,2,0,4,1604,241,49,60,38
105,97900,2016,128783,1,0,1,1693,511,9,76,35
106,29900,2011,160000,5,0,1,1369,162,8,62,15
107,85000,2019,88000,1,0,9,1102,264,65,150,21
108,235000,2021,39000,4,0,3,4731,75,70,42,28
109,55000,2018,110000,1,0,3,1102,791,67,28,37
112,36999,2016,95000,3,0,9,985,148,67,146,12
113,101900,2017,101726,2,0,4,2019,361,53,82,43
114,63000,2015,147000,5,1,10,1424,553,70,24,28
116,83000,2014,97000,1,0,4,1693,553,16,60,11
118,112500,2017,150000,2,0,1,2019,467,0,54,38
119,300000,2022,6600,1,0,9,4731,133,6,76,16
120,132000,2021,83000,1,0,1,2130,504,70,76,28
121,140000,2021,23000,2,0,6,2130,343,46,82,16
123,96900,2019,124130,1,0,6,1835,483,53,13,10
126,280000,2019,37100,1,0,6,3357,414,10,71,16
127,128900,2019,31529,1,0,8,1835,735,70,84,12
128,55000,2016,130000,2,0,5,1584,759,70,2,12
129,79900,2017,104000,1,0,8,1604,344,70,82,44
130,126900,2019,56000,1,0,2,2019,296,6,84,38
133,485312,2022,2189,1,0,5,4731,415,70,71,16
134,380000,2021,10000,1,0,3,4731,444,70,71,12
136,62000,2017,160000,1,0,6,1604,748,53,29,7
138,110000,2016,124000,2,0,4,1693,295,70,84,15
139,99900,2016,49000,1,0,8,1584,297,19,84,12
140,25000,2011,170000,3,1,4,880,738,42,150,37
141,85900,2017,144000,2,0,2,1835,691,70,43,32
142,86000,2018,80000,1,0,1,1604,373,49,82,12
143,74900,2020,68900,1,0,11,1102,525,49,6,38
144,80000,2019,17000,1,0,6,1102,738,70,7,12
145,45000,2015,100000,3,0,2,1424,769,63,2,32
149,67500,2014,155000,1,0,3,1962,653,70,131,48
150,107900,2021,31343,1,0,3,1529,725,70,150,43
151,89999,2018,114000,1,0,5,1604,283,70,44,25
152,81900,2017,95000,1,0,8,1604,236,70,53,5
154,35900,2014,134000,2,0,3,985,261,13,26,12
156,97900,2018,70000,1,0,4,1604,483,53,2,48
158,68500,2018,140000,1,0,13,1353,623,70,151,38
159,32000,2010,200000,2,0,1,1262,236,72,53,45
160,29990,2016,140000,4,0,5,1205,761,10,2,32
162,125000,2019,64545,1,0,1,2019,694,6,4,22
163,109000,2021,22000,2,0,3,1811,473,70,151,7
165,54999,2016,235000,2,0,3,1693,490,67,54,34
166,48000,2012,350000,2,0,4,1427,362,67,82,35
167,114990,2017,99000,2,0,3,1835,185,43,60,12
168,279900,2022,19000,1,0,2,3366,606,67,25,38
170,110900,2019,152131,1,0,9,2019,700,6,53,35
172,635000,2021,46000,2,0,1,4731,323,70,120,28
173,96900,2016,119660,2,0,2,1693,511,65,76,35
174,114000,2019,40500,2,0,1,2019,393,65,40,32
175,133000,2019,70000,1,0,2,2019,464,70,54,16
178,82000,2019,125000,1,0,6,1353,550,70,151,12
180,119900,2019,46000,3,0,5,2019,775,9,33,32
181,98900,2018,130000,1,0,3,1604,714,70,44,38
182,65000,2016,130000,3,1,8,1584,689,70,53,28
183,65000,2016,130000,2,0,1,1424,584,49,2,28
184,117900,2019,79685,1,0,8,1604,715,40,44,10
186,179900,2020,27000,2,0,9,2417,514,70,104,42
189,152000,2022,15000,1,0,5,1811,243,70,60,28
191,149000,2017,79000,1,0,6,2019,622,13,24,38
193,97000,2016,135000,2,0,5,1693,295,6,84,32
195,17000,2012,140000,2,1,8,880,254,19,0,2
196,169000,2022,100,1,0,7,2417,189,70,4,41
199,80000,2022,7000,1,0,1,1235,742,46,2,7
200,90000,2017,185000,1,0,8,2019,512,70,76,32
201,117000,2018,119000,1,0,4,2019,381,70,82,24
204,117900,2020,58317,2,0,1,2130,735,53,54,38
205,145000,2016,160000,1,0,3,1962,64,70,105,12
206,40000,2014,120000,3,0,1,1424,778,70,59,7
207,174503,2020,36260,1,0,4,3366,9,53,39,28
209,75000,2015,134000,2,0,9,1424,236,70,53,41
211,170000,2020,130000,1,0,11,2019,622,9,39,15
212,13999,2014,200000,2,1,4,985,789,67,148,34
213,47500,2017,112000,2,0,3,1102,740,46,7,44
214,100000,2019,130000,1,0,1,1604,584,46,39,24
216,58900,2016,130000,2,0,7,1424,584,13,2,38
217,78900,2014,70000,1,0,3,1693,365,6,82,38
218,50000,2014,140000,4,0,1,1424,341,70,36,35
219,149000,2020,28000,1,0,3,2417,603,67,39,41
222,74900,2019,46316,2,0,11,1102,740,65,7,35
223,89900,2021,44637,2,0,10,1529,266,13,150,12
225,59900,2013,120000,3,0,1,1693,353,70,100,28
226,58000,2017,103000,1,0,6,1353,745,46,26,12
229,112000,2019,129033,1,0,7,1835,735,65,54,32
232,97990,2019,80000,1,0,5,1604,750,49,29,32
233,91900,2016,56000,2,0,6,1584,297,46,84,9
234,104000,2020,59000,1,0,11,1353,548,3,151,44
236,105900,2018,122000,1,0,5,2019,713,70,84,32
237,37900,2012,400000,2,0,1,1726,411,70,86,28
240,45000,2010,268000,3,0,1,1508,122,53,139,35
241,90000,2019,99000,1,0,9,1353,550,70,151,32
242,93000,2016,100000,1,0,9,1693,512,65,76,38
243,240000,2018,68000,1,0,6,2563,222,70,108,12
244,269000,2022,5000,1,0,11,3366,137,6,76,7
245,69000,2021,11000,1,0,5,1235,396,56,1,38
246,99900,2014,264000,2,0,5,1962,64,70,105,38
247,107900,2021,27279,1,0,1,1529,550,70,151,43
248,105900,2021,38000,2,0,1,1811,481,70,79,38
249,89000,2017,92000,1,0,7,1604,530,67,47,38
250,299990,2022,2000,1,0,8,3366,559,15,25,37
251,72900,2020,129000,1,0,4,1529,267,65,150,38
252,40900,2013,146000,2,1,9,985,741,42,7,38
253,92900,2016,134000,2,0,1,1693,200,70,70,28
254,189999,2017,229000,1,0,7,3357,18,53,68,12
255,149500,2019,130000,1,0,2,2563,722,65,92,38
259,195000,2021,29000,1,0,6,3366,375,70,91,2
260,97000,2019,140000,1,0,7,1835,573,70,41,32
261,306000,2022,3000,2,0,4,4731,442,65,13,28
263,134000,2021,34000,1,0,2,2130,390,6,40,11
269,29990,2015,120000,2,0,7,985,688,51,4,12
271,103900,2019,78691,1,0,6,1835,483,65,13,4
272,25000,2015,160000,2,0,2,1424,802,70,18,15
273,14999,2010,250000,3,0,7,1262,624,71,53,34
275,162000,2019,60000,1,0,1,2563,74,70,40,12
277,52000,2014,128000,3,0,11,1424,341,70,36,12
278,26000,2011,127000,2,0,5,880,254,36,0,28
281,99900,2016,143000,1,0,7,1693,467,13,54,12
283,156000,2016,154200,2,0,10,2397,78,70,77,36
284,107500,2018,169000,1,0,1,2019,464,70,54,48
285,88000,2018,144000,1,0,1,2019,352,65,82,28
286,199000,2021,80000,1,0,11,3366,191,70,98,28
288,289900,2019,52000,1,0,9,3357,179,65,67,38
289,79900,2017,150000,2,0,7,1604,714,65,44,12
293,79900,2017,116000,2,0,11,1962,771,70,133,38
294,119900,2016,94000,1,0,3,1962,312,65,92,12
296,55000,2014,102000,2,0,11,1424,236,10,53,15
297,124900,2017,90979,2,0,1,2019,385,6,82,38
298,81900,2018,134400,2,0,4,1604,344,70,82,35
299,235000,2021,13000,1,0,4,3366,783,65,133,38
301,89000,2018,102000,1,0,4,1604,372,70,82,19
302,154900,2019,60889,1,0,1,2019,204,65,94,43
305,64900,2018,249000,2,0,11,1604,714,70,44,38
