,origin_own
0,ליסינג
1,אחר
2,פרטית
3,פרטית
4,ליסינג
5,ליסינג
6,ליסינג
7,פרטית
8,פרטית
9,ליסינג
10,פרטית
11,ליסינג
12,פרטית
13,ליסינג
14,פרטית
15,פרטית
16,פרטית
17,פרטית
18,ליסינג
19,השכרה
20,פרטית
21,פרטית
22,פרטית
23,אחר
24,פרטית
25,פרטית
26,פרטית
27,ליסינג
28,פרטית
29,פרטית
30,פרטית
31,פרטית
32,פרטית
33,פרטית
34,פרטית
35,פרטית
36,פרטית
37,ליסינג
38,פרטית
39,פרטית
40,ליסינג
41,ליסינג
42,פרטית
43,פרטית
44,פרטית
45,ליסינג
46,פרטית
47,פרטית
48,ליסינג
49,פרטית
50,השכרה
51,פרטית
52,פרטית
53,פרטית
54,פרטית
55,פרטית
56,פרטית
57,פרטית
58,פרטית
59,ליסינג
60,ליסינג
61,פרטית
62,השכרה
63,פרטית
64,פרטית
65,ליסינג
66,פרטית
67,פרטית
68,פרטית
69,ליסינג
70,פרטית
71,פרטית
72,פרטית
73,פרטית
74,פרטית
75,פרטית
76,פרטית
77,ליסינג
78,פרטית
79,ליסינג
80,ליסינג
81,פרטית
82,פרטית
83,פרטית
84,ליסינג
85,פרטית
86,פרטית
87,פרטית
88,ליסינג
89,פרטית
90,פרטית
91,פרטית
92,פרטית
93,פרטית
94,ליסינג
95,פרטית
96,ליסינג
97,פרטית
98,פרטית
99,פרטית
100,פרטית
101,פרטית
102,פרטית
103,פרטית
104,פרטית
105,פרטית
106,פרטית
107,פרטית
108,פרטית
109,ליסינג
110,ליסינג
111,פרטית
112,ליסינג
113,פרטית
114,פרטית
115,פרטית
116,ליסינג
117,פרטית
118,פרטית
119,פרטית
120,פרטית
121,פרטית
122,פרטית
123,פרטית
124,ליסינג
125,פרטית
126,פרטית
127,פרטית
128,פרטית
129,ליסינג
130,ליסינג
131,פרטית
132,ליסינג
133,ליסינג
134,פרטית
135,פרטית
136,פרטית
137,פרטית
138,ליסינג
139,השכרה
140,פרטית
141,פרטית
142,פרטית
143,פרטית
144,פרטית
145,פרטית
146,פרטית
147,פרטית
148,השכרה
149,ליסינג
150,פרטית
151,ליסינג
152,פרטית
153,ליסינג
154,ליסינג
155,פרטית
156,פרטית
157,פרטית
158,ליסינג
159,השכרה
160,ליסינג
161,אחר
162,פרטית
163,פרטית
164,פרטית
165,פרטית
166,פרטית
167,פרטית
168,פרטית
169,פרטית
170,ליסינג
171,פרטית
172,פרטית
173,פרטית
174,פרטית
175,ליסינג
176,פרטית
177,פרטית
178,ליסינג
179,ליסינג
180,פרטית
181,פרטית
182,פרטית
183,ליסינג
184,ליסינג
185,פרטית
186,פרטית
187,ליסינג
188,פרטית
189,פרטית
190,פרטית
191,פרטית
192,ליסינג
193,פרטית
194,פרטית
195,פרטית
196,פרטית
197,ליסינג
198,פרטית
199,פרטית
200,פרטית
201,ליסינג
202,פרטית
203,פרטית
204,פרטית
205,פרטית
206,פרטית
207,פרטית
208,פרטית
209,ליסינג
210,פרטית
211,ליסינג
212,פרטית
213,ליסינג
214,ליסינג
215,ליסינג
216,פרטית
217,פרטית
218,פרטית
219,ליסינג
220,ליסינג
221,פרטית
222,פרטית
223,פרטית
224,פרטית
225,פרטית
226,ליסינג
227,פרטית
228,פרטית
229,ליסינג
230,פרטית
231,ליסינג
232,פרטית
233,ליסינג
234,פרטית
235,ליסינג
236,ליסינג
237,השכרה
238,אחר
239,פרטית
240,ליסינג
241,פרטית
242,פרטית
243,פרטית
244,פרטית
245,פרטית
246,פרטית
247,פרטית
248,פרטית
249,פרטית
250,פרטית
251,פרטית
252,פרטית
253,פרטית
254,פרטית
255,פרטית
256,פרטית
257,פרטית
258,פרטית
259,פרטית
260,פרטית
261,פרטית
262,פרטית
263,ליסינג
264,פרטית
265,פרטית
266,פרטית
267,ליסינג
268,פרטית
269,פרטית
270,פרטית
271,ליסינג
272,ליסינג
273,פרטית
274,פרטית
275,פרטית
276,פרטית
277,פרטית
278,פרטית
279,פרטית
280,אחר
281,פרטית
282,פרטית
283,ליסינג
284,פרטית
285,פרטית
286,השכרה
287,פרטית
288,פרטית
289,פרטית
290,ליסינג
291,ליסינג
292,פרטית
293,פרטית
294,השכרה
295,פרטית
296,פרטית
297,פרטית
298,פרטית
299,פרטית
300,פרטית
301,פרטית
302,פרטית
303,פרטית
304,ליסינג
305,פרטית
306,פרטית
307,פרטית
308,פרטית
309,פרטית
310,פרטית
311,ליסינג
312,פרטית
313,ליסינג
314,אחר
315,ליסינג
316,פרטית
317,פרטית
318,פרטית
319,פרטית
320,ליסינג
321,פרטית
322,ליסינג
323,פרטית
324,פרטית
325,ליסינג
326,פרטית
327,ליסינג
328,פרטית
329,פרטית
330,פרטית
331,פרטית
332,פרטית
333,פרטית
334,ליסינג
335,פרטית
336,פרטית
337,פרטית
338,ליסינג
339,פרטית
340,פרטית
341,פרטית
342,פרטית
343,פרטית
344,פרטית
345,פרטית
346,פרטית
347,ליסינג
348,ליסינג
349,פרטית
350,ליסינג
351,פרטית
352,פרטית
353,אחר
354,ליסינג
355,פרטית
356,השכרה
357,פרטית
358,פרטית
359,ליסינג
360,ליסינג
361,פרטית
362,פרטית
363,פרטית
364,ליסינג
365,פרטית
366,פרטית
367,פרטית
368,השכרה
369,פרטית
370,ליסינג
371,פרטית
372,פרטית
373,פרטית
374,פרטית
375,אחר
376,פרטית
377,ליסינג
378,פרטית
379,ליסינג
380,פרטית
381,פרטית
382,ליסינג
383,פרטית
384,פרטית
385,אחר
386,פרטית
387,פרטית
388,פרטית
389,ליסינג
390,ליסינג
391,פרטית
392,ליסינג
393,פרטית
394,פרטית
395,ליסינג
396,פרטית
397,ליסינג
398,ליסינג
399,ליסינג
400,פרטית
401,פרטית
402,פרטית
403,פרטית
404,פרטית
405,פרטית
406,ליסינג
407,פרטית
408,ליסינג
409,פרטית
410,פרטית
411,פרטית
412,פרטית
413,ליסינג
414,ליסינג
415,ליסינג
416,ליסינג
417,פרטית
418,פרטית
419,השכרה
420,ליסינג
421,השכרה
422,ליסינג
423,ליסינג
424,ליסינג
425,פרטית
426,פרטית
427,פרטית
428,פרטית
429,ליסינג
430,פרטית
431,פרטית
432,פרטית
433,פרטית
434,ליסינג
435,ליסינג
436,ליסינג
437,פרטית
438,פרטית
439,פרטית
440,ליסינג
441,פרטית
442,פרטית
443,ליסינג
444,פרטית
445,פרטית
446,ליסינג
447,פרטית
448,פרטית
449,פרטית
450,פרטית
451,ליסינג
452,פרטית
453,פרטית
454,ליסינג
455,פרטית
456,פרטית
457,פרטית
458,פרטית
459,פרטית
460,פרטית
461,פרטית
462,פרטית
463,ליסינג
464,ליסינג
465,פרטית
466,פרטית
467,פרטית
468,ליסינג
469,פרטית
470,פרטית
471,פרטית
472,פרטית
473,ליסינג
474,ליסינג
475,פרטית
476,ליסינג
477,פרטית
478,פרטית
479,פרטית
480,ליסינג
481,פרטית
482,פרטית
483,פרטית
484,ליסינג
485,פרטית
486,ליסינג
487,ליסינג
488,פרטית
489,פרטית
490,פרטית
491,פרטית
492,פרטית
493,ליסינג
494,פרטית
495,ליסינג
496,פרטית
497,ליסינג
498,פרטית
499,פרטית
500,פרטית
501,פרטית
502,פרטית
503,ליסינג
504,פרטית
505,ליסינג
506,פרטית
507,פרטית
508,פרטית
509,פרטית
510,פרטית
511,פרטית
512,ליסינג
513,פרטית
514,פרטית
515,פרטית
516,ליסינג
517,ליסינג
518,פרטית
519,אחר
520,ליסינג
521,ליסינג
522,פרטית
523,פרטית
524,פרטית
525,פרטית
526,פרטית
527,פרטית
528,ליסינג
529,פרטית
530,פרטית
531,פרטית
532,פרטית
533,פרטית
534,פרטית
535,ליסינג
536,פרטית
537,ליסינג
538,פרטית
539,פרטית
540,פרטית
541,ליסינג
542,ליסינג
543,פרטית
544,פרטית
545,פרטית
546,פרטית
547,פרטית
548,פרטית
549,ליסינג
550,פרטית
551,פרטית
552,פרטית
553,פרטית
554,אחר
555,השכרה
556,ליסינג
557,ליסינג
558,פרטית
559,פרטית
560,פרטית
561,אחר
562,ליסינג
563,פרטית
564,פרטית
565,פרטית
566,פרטית
567,ליסינג
568,אחר
569,ליסינג
570,פרטית
571,פרטית
572,ליסינג
573,פרטית
574,פרטית
575,ליסינג
576,אחר
577,ליסינג
578,פרטית
579,פרטית
580,פרטית
581,פרטית
582,פרטית
583,ליסינג
584,פרטית
585,פרטית
586,ליסינג
587,פרטית
588,פרטית
589,פרטית
590,פרטית
591,פרטית
592,פרטית
593,ליסינג
594,פרטית
595,פרטית
596,פרטית
597,פרטית
598,פרטית
599,ליסינג
600,פרטית
601,פרטית
602,ליסינג
603,פרטית
604,פרטית
605,ליסינג
606,פרטית
607,פרטית
608,פרטית
609,ליסינג
610,פרטית
611,ליסינג
612,ליסינג
613,פרטית
614,השכרה
615,ליסינג
616,ליסינג
617,פרטית
618,פרטית
619,ליסינג
620,פרטית
621,פרטית
622,ליסינג
623,פרטית
624,ליסינג
625,פרטית
626,פרטית
627,פרטית
628,ליסינג
629,פרטית
630,פרטית
631,אחר
632,ליסינג
633,פרטית
634,פרטית
635,ליסינג
636,פרטית
637,פרטית
638,ליסינג
639,פרטית
640,פרטית
641,פרטית
642,פרטית
643,ליסינג
644,ליסינג
645,אחר
646,פרטית
647,פרטית
648,פרטית
649,ליסינג
650,פרטית
651,פרטית
652,פרטית
653,פרטית
654,פרטית
655,פרטית
656,פרטית
657,פרטית
658,פרטית
659,פרטית
660,ליסינג
661,ליסינג
662,פרטית
663,פרטית
664,ליסינג
665,פרטית
666,ליסינג
667,ליסינג
668,פרטית
669,פרטית
670,ליסינג
671,פרטית
672,פרטית
673,פרטית
674,פרטית
675,פרטית
676,ליסינג
677,פרטית
678,פרטית
679,אחר
680,ליסינג
681,פרטית
682,פרטית
683,פרטית
684,פרטית
685,ליסינג
686,פרטית
687,אחר
688,פרטית
689,פרטית
690,ליסינג
691,ליסינג
692,פרטית
693,פרטית
694,פרטית
695,ליסינג
696,פרטית
697,פרטית
698,פרטית
699,ליסינג
700,פרטית
701,ליסינג
702,פרטית
703,ליסינג
704,ליסינג
705,פרטית
706,פרטית
707,פרטית
708,פרטית
709,פרטית
710,פרטית
711,פרטית
712,ליסינג
713,פרטית
714,פרטית
715,פרטית
716,פרטית
717,אחר
718,פרטית
719,פרטית
720,פרטית
721,פרטית
722,אחר
723,פרטית
724,פרטית
725,פרטית
726,פרטית
727,אחר
728,אחר
729,פרטית
730,פרטית
731,פרטית
732,פרטית
733,פרטית
734,ליסינג
735,פרטית
736,פרטית
737,פרטית
738,פרטית
739,פרטית
740,פרטית
741,פרטית
742,פרטית
743,פרטית
744,פרטית
745,פרטית
746,פרטית
747,פרטית
748,ליסינג
749,פרטית
750,פרטית
751,פרטית
752,פרטית
753,פרטית
754,פרטית
755,השכרה
756,פרטית
757,פרטית
758,פרטית
759,ליסינג
760,ליסינג
761,ליסינג
762,פרטית
763,פרטית
764,פרטית
765,ליסינג
766,פרטית
767,ליסינג
768,ליסינג
769,אחר
770,פרטית
771,פרטית
772,פרטית
773,פרטית
774,ליסינג
775,פרטית
776,פרטית
777,ליסינג
778,ליסינג
779,פרטית
780,אחר
781,ליסינג
782,פרטית
783,פרטית
784,פרטית
785,פרטית
786,ליסינג
787,פרטית
788,פרטית
789,ליסינג
790,פרטית
791,פרטית
792,פרטית
793,פרטית
794,ליסינג
795,ליסינג
796,פרטית
797,ליסינג
798,פרטית
799,ליסינג
800,פרטית
801,פרטית
802,ליסינג
803,ליסינג
804,ליסינג
805,פרטית
806,ליסינג
807,פרטית
808,פרטית
809,פרטית
810,פרטית
811,פרטית
812,פרטית
813,פרטית
814,ליסינג
815,אחר
816,פרטית
817,ליסינג
818,פרטית
819,ליסינג
820,פרטית
821,ליסינג
822,פרטית
823,פרטית
824,פרטית
825,ליסינג
826,פרטית
827,פרטית
828,פרטית
829,אחר
830,ליסינג
831,פרטית
832,פרטית
833,פרטית
834,פרטית
835,אחר
836,פרטית
837,פרטית
838,פרטית
839,פרטית
840,ליסינג
841,ליסינג
842,פרטית
843,פרטית
844,פרטית
845,פרטית
846,פרטית
847,פרטית
848,ליסינג
849,פרטית
850,ליסינג
851,ליסינג
852,ליסינג
853,פרטית
854,ליסינג
855,השכרה
856,פרטית
857,ליסינג
858,אחר
859,פרטית
860,ליסינג
861,פרטית
