,price
0,"138,000 ₪"
1,"117,500 ₪"
2,"115,000 ₪"
3,"69,900 ₪"
4,"20,000 ₪"
5,"143,000 ₪"
6,"97,000 ₪"
7,"313,800 ₪"
8,"112,900 ₪"
9,"75,900 ₪"
10,"99,000 ₪"
11,"100,900 ₪"
12,"96,000 ₪"
13,"96,300 ₪"
14,"142,900 ₪"
15,"27,999 ₪"
16,"425,000 ₪"
17,"209,000 ₪"
18,"94,000 ₪"
19,"143,560 ₪"
20,"127,500 ₪"
21,"199,000 ₪"
22,"580,000 ₪"
23,"103,000 ₪"
24,"452,000 ₪"
25,"79,000 ₪"
26,"86,990 ₪"
27,"78,900 ₪"
28,"19,000 ₪"
29,"59,900 ₪"
30,"82,500 ₪"
31,"132,000 ₪"
32,"105,900 ₪"
33,"114,900 ₪"
34,"197,900 ₪"
35,"72,000 ₪"
36,"49,999 ₪"
37,"52,000 ₪"
38,"142,000 ₪"
39,"106,900 ₪"
40,"55,000 ₪"
41,"261,803 ₪"
42,"70,000 ₪"
43,"86,900 ₪"
44,"24,900 ₪"
45,"58,500 ₪"
46,"86,900 ₪"
47,"168,000 ₪"
48,"72,000 ₪"
49,"120,900 ₪"
50,"37,000 ₪"
51,"95,000 ₪"
52,"285,000 ₪"
53,"71,900 ₪"
54,"54,900 ₪"
55,"107,900 ₪"
56,"60,000 ₪"
57,"57,900 ₪"
58,"97,500 ₪"
59,"39,000 ₪"
60,"100,000 ₪"
61,"249,990 ₪"
62,"37,000 ₪"
63,"57,000 ₪"
64,"55,900 ₪"
65,"57,000 ₪"
66,"71,900 ₪"
67,"105,000 ₪"
68,"245,000 ₪"
69,"30,999 ₪"
70,"59,900 ₪"
71,"199,999 ₪"
72,"199,500 ₪"
73,"69,900 ₪"
74,"43,000 ₪"
75,"112,000 ₪"
76,"82,000 ₪"
77,"79,900 ₪"
78,"495,000 ₪"
79,"37,900 ₪"
80,"115,900 ₪"
81,"84,900 ₪"
82,"78,900 ₪"
83,"245,000 ₪"
84,"105,900 ₪"
85,"164,900 ₪"
86,"154,989 ₪"
87,"125,900 ₪"
88,"52,000 ₪"
89,"22,900 ₪"
90,"77,000 ₪"
91,"124,900 ₪"
92,"94,900 ₪"
93,"125,000 ₪"
94,"73,000 ₪"
95,"42,900 ₪"
96,"87,203 ₪"
97,"44,000 ₪"
98,"151,000 ₪"
99,"130,000 ₪"
100,"91,000 ₪"
101,"79,900 ₪"
102,"65,000 ₪"
103,"79,900 ₪"
104,"120,900 ₪"
105,"113,900 ₪"
106,"97,900 ₪"
107,"29,900 ₪"
108,"85,000 ₪"
109,"235,000 ₪"
110,"55,000 ₪"
111,"15,000 ₪"
112,"49,500 ₪"
113,"36,999 ₪"
114,"101,900 ₪"
115,"63,000 ₪"
116,"93,900 ₪"
117,"83,000 ₪"
118,"104,000 ₪"
119,"112,500 ₪"
120,"300,000 ₪"
121,"132,000 ₪"
122,"140,000 ₪"
123,"85,900 ₪"
124,"96,900 ₪"
125,"158,000 ₪"
126,"165,000 ₪"
127,"280,000 ₪"
128,"128,900 ₪"
129,"55,000 ₪"
130,"79,900 ₪"
131,"126,900 ₪"
132,"102,000 ₪"
133,"95,000 ₪"
134,"485,312 ₪"
135,"380,000 ₪"
136,"450,000 ₪"
137,"62,000 ₪"
138,"32,993 ₪"
139,"110,000 ₪"
140,"99,900 ₪"
141,"25,000 ₪"
142,"85,900 ₪"
