,version
0,מזדה CX-5 CX-5 PREMIUM
1,יונדאי טוסון TUCSON PRIME PLUS
2,קיה ספורטז' SPORTAGE URBAN
3,שברולט ספארק SPARK LT PLUS
4,אופל אסטרה ASTRA ENJOY
5,פולקסווגן טיגואן TIGUAN LIFE PLUS
6,יונדאי איוניק HYBRID PREMIUM
7,מרצדס E קלאס E200 AVANTGARDE
8,טויוטה קורולה HSD SDN SUN
9,יונדאי I20 I20 PRIME
10,יונדאי סונטה HYBRID PREMIUM
11,מזדה 3 MAZDA 3 COMFORT
12,קיה סטוניק STONIC PREMIUM
13,קיה סטוניק STONIC LX
14,מיצובישי אאוטלנדר OUTLANDER INSTYLE
15,אופל מריבה MERIVA ENJOY
16,ג'יפ רנגלר JEEP WRANGLER ITED RUBICON
17,לקסוס RX 350 PREMIUM
18,רנו מגאן MEGANE INTENSE
19,ניסאן X TRAIL X-TRAIL ACENTA
20,מזדה 3 MAZDA 3 COMFORT
21,קיה נירו NIRO PLUS EV EV
22,מרצדס S קלאס S 560 E S560E SEDAN
23,מיצובישי אאוטלנדר OUTLANDER INTENSE
24,לנד רובר רינג' רובר ספורט SPORT PHEV HSE DYN
25,אאודי Q5 Q5 LUXURY
26,קיה סטוניק STONIC EX
27,סיאט איביזה IBIZA REFERENCE
28,סוזוקי אלטו ALTO GLX
29,סקודה אוקטביה OCTAVIA ELEGANCE
30,ב מ וו סדרה 3 316I BUSINESS
31,אאודי Q2 Q2 ICON LUXURY
32,סובארו פורסטר FORESTER 2.0X
33,טויוטה C-HR HYBRID LOUNGE-P
34,קיה סורנטו SORENTO URBAN
35,קיה פיקנטו PICANTO LX
36,פולקסווגן גולף GOLF TRENDLINE
37,שברולט ספארק SPARK LT
38,שברולט אקוינוקס EQUINOX LT PLUS
39,יונדאי טוסון TUCSON OPEN SKY
40,פורד אדג' EDGE SEL PLUS
41,מרצדס A קלאס 180 AMG LINE FLT
42,סובארו XV XV 1.6I
43,ניסאן X TRAIL X-TRAIL ACENTA
44,פיאט 500 1.2 POP
45,סקודה אוקטביה OCTAVIA AMBITION
46,סיטרואן C3 C3 FEEL PACK
47,שברולט טרוורס TRAVERSE LT
48,מיצובישי אאוטלנדר OUTLANDER ELITE
49,MG ZS EV NET-UP S
50,אופל אסטרה ASTRA ENJOY PLUS
51,ניסאן X TRAIL X-TRAIL ACENTA LE
52,שברולט קמארו CAMARO 1LT
53,סוזוקי סוויפט SWIFT GLX
54,רנו קליאו CLIO EX PACK PLUS
55,פורד קוגה KUGA TREND X
56,קיה פיקנטו PICANTO LX
57,יונדאי I30 I30 PREMIUM
58,יונדאי וניו VENUE INSPIRE
59,ניסאן קשקאי QASHQAI ACENTA
60,סקודה סופרב SUPERB AMBITION
61,מרצדס GLA קלאס GLA200 EXCLUSIV FLT
62,פיג'ו 208 208 ACCESS
63,שברולט ספארק SPARK LT
64,דאציה סנדרו SANDERO LAUREATE
65,מיצובישי ספייס סטאר SPACE STAR SUPREME
66,קיה ספורטז' SPORTAGE EX
67,קיה ספורטז' SPORTAGE URBAN
68,אאודי Q7 Q7 LUXURY
69,יונדאי I10 I10 PREMIUM
70,שברולט קרוז CRUZE LT
71,מיני קופר JCW CHILLI
72,סובארו פורסטר FORESTER SPORT
73,סיטרואן ברלינגו BERLINGO COMFORT
74,רנו קליאו CLIO EX PACK PLUS
75,טויוטה קורולה HSD SDN SUN
76,סיאט איביזה IBIZA REFERENCE
77,קיה ספורטז' SPORTAGE URBAN
78,מרצדס EQC 400 4MATIC AMG
79,פיאט טיפו FIAT TIPO COMFORT
80,יונדאי טוסון TUCSON PRIME PLUS
81,סוזוקי סוויפט SWIFT GLX
82,סיטרואן ג'מפי JUMPY L1-H1/10K
83,סקודה קודיאק KODIAQ STYLE
84,יונדאי I20 I20 PRESTIGE
85,יונדאי טוסון TUCSON LUXURY
86,סקודה סופרב SUPERB AMBITION
87,פיג'ו 3008 3008 PREMIUM
88,סיטרואן ברלינגו BERLINGO MAXI
89,יונדאי I10 I10 GL
90,קיה ספורטז' SPORTAGE URBAN
91,מרצדס CLA קלאס CLA180 URBAN FL
92,אופל קרוסלנד-X X INNOVATION
93,מזדה CX-5 CX-5 EXECUTIVE
94,מיצובישי אאוטלנדר OUTLANDER INSTYLE
95,ניסאן אלמרה ALMERA SV
96,ניסאן סנטרה SENTRA SR
97,הונדה ג'אז JAZZ TREND
98,פולקסווגן גולף GOLF LIFE PLUS
99,יונדאי קונה HYBRID PREMIUM
100,מזדה CX-5 CX-5 EXECUTIVE
101,סובארו פורסטר FORESTER X
102,פיאט דובלו FIAT DOBLO COMBI
103,סוזוקי ויטארה VITARA GLX 2T
104,מיצובישי אקליפס קרוס ECLIPSE CROSS PREMIUM
105,טויוטה קורולה HSD SDN SUN
106,סובארו פורסטר FORESTER 2.0X
107,הונדה סיוויק CIVIC COMFORT AT
108,יונדאי I20 I20 PRESTIGE
109,ב מ וו X1 XDRIVE25E M-SPORT
110,שברולט ספארק SPARK LT
111,אופל אסטרה ASTRA ENJOY
112,ניסאן מיקרה MICRA VISIA
113,דאציה סנדרו SANDERO LAUREATE
114,מזדה CX-5 CX-5 EXECUTIVE
115,סיאט לאון LEON FR
116,יונדאי איוניק HYBRID PREMIUM
117,סיאט לאון LEON FR
118,מזדה 3 MAZDA 3 SPORT
119,ניסאן X TRAIL X-TRAIL TEKNA
120,ג'יפ רנגלר JEEP WRANGLER SPORT S
121,סובארו XV XV CROSSTYLE
122,מזדה 3 MAZDA 3 SPIRIT
123,רנו מגאן MEGANE INTENSE
124,ניסאן קשקאי QASHQAI ACENTA
125,מיצובישי אאוטלנדר OUTLANDER INSTYLE
126,סיאט לאון LEON FR
127,מרצדס C קלאס C300 AMG FLT FL
128,קיה ספורטז' SPORTAGE URBAN
129,רנו קאדג'ר KADJAR ZEN
130,מזדה 3 MAZDA 3 SPORT
131,יונדאי טוסון TUCSON PANORAMIC
132,סקודה אוקטביה OCTAVIA AMBITION
133,מיצובישי אאוטלנדר OUTLANDER INTENSE
134,מרצדס C קלאס C300 AMG SPORT
135,מרצדס GLC 200 4MATIC AMG LINE FLT
136,ב מ וו סדרה 5 530E M-DESIGN SE
137,רנו גראנד קופה COUPE ZEN
138,רנו פלואנס FLUENCE COMFORT
139,יונדאי טוסון TUCSON OPEN SKY
140,יונדאי טוסון TUCSON PREMIUM
141,קיה פיקנטו PICANTO EX
142,פיג'ו 3008 3008 ACTIVE
143,מיצובישי ASX ASX INTENSE
