,origin_own
0,ליסינג
1,אחר
2,פרטית
3,פרטית
4,ליסינג
5,ליסינג
6,ליסינג
7,פרטית
8,פרטית
9,ליסינג
10,פרטית
11,ליסינג
12,פרטית
13,ליסינג
14,פרטית
15,פרטית
16,פרטית
17,פרטית
18,ליסינג
19,השכרה
20,פרטית
21,פרטית
22,פרטית
23,אחר
24,פרטית
25,פרטית
26,פרטית
27,ליסינג
28,פרטית
29,פרטית
30,פרטית
31,פרטית
32,פרטית
33,פרטית
34,פרטית
35,פרטית
36,פרטית
37,פרטית
38,ליסינג
39,פרטית
40,פרטית
41,ליסינג
42,ליסינג
43,פרטית
44,פרטית
45,פרטית
46,ליסינג
47,פרטית
48,פרטית
49,ליסינג
50,פרטית
51,השכרה
52,פרטית
53,פרטית
54,פרטית
55,פרטית
56,פרטית
57,פרטית
58,פרטית
59,פרטית
60,ליסינג
61,ליסינג
62,פרטית
63,השכרה
64,פרטית
65,פרטית
66,ליסינג
67,פרטית
68,פרטית
69,פרטית
70,ליסינג
71,פרטית
72,פרטית
73,פרטית
74,פרטית
75,פרטית
76,פרטית
77,פרטית
78,ליסינג
79,פרטית
80,ליסינג
81,ליסינג
82,פרטית
83,פרטית
84,פרטית
85,ליסינג
86,פרטית
87,פרטית
88,פרטית
89,ליסינג
90,פרטית
91,פרטית
92,פרטית
93,פרטית
94,ליסינג
95,פרטית
96,ליסינג
97,פרטית
98,פרטית
99,פרטית
100,פרטית
101,פרטית
102,פרטית
103,פרטית
104,פרטית
105,פרטית
106,פרטית
107,פרטית
108,ליסינג
109,ליסינג
110,פרטית
111,ליסינג
112,פרטית
113,פרטית
114,פרטית
115,ליסינג
116,פרטית
117,פרטית
118,פרטית
119,פרטית
120,פרטית
121,פרטית
122,פרטית
123,ליסינג
124,פרטית
125,פרטית
126,פרטית
127,פרטית
128,ליסינג
129,ליסינג
130,פרטית
131,ליסינג
132,ליסינג
133,פרטית
134,פרטית
135,פרטית
136,פרטית
137,ליסינג
138,השכרה
139,פרטית
140,פרטית
141,פרטית
142,פרטית
143,פרטית
144,פרטית
145,פרטית
146,פרטית
147,פרטית
148,השכרה
149,ליסינג
150,פרטית
151,ליסינג
152,ליסינג
153,פרטית
154,ליסינג
155,ליסינג
156,פרטית
157,פרטית
158,פרטית
159,ליסינג
160,השכרה
161,ליסינג
162,אחר
163,פרטית
164,פרטית
165,פרטית
166,פרטית
167,פרטית
168,פרטית
169,פרטית
170,ליסינג
171,פרטית
172,פרטית
173,פרטית
174,פרטית
175,ליסינג
176,פרטית
177,פרטית
178,ליסינג
179,ליסינג
180,פרטית
181,פרטית
182,פרטית
183,ליסינג
184,ליסינג
185,פרטית
186,פרטית
187,ליסינג
188,פרטית
189,פרטית
190,פרטית
191,פרטית
192,ליסינג
193,פרטית
194,פרטית
195,פרטית
196,פרטית
197,ליסינג
198,פרטית
199,פרטית
200,פרטית
201,ליסינג
202,פרטית
203,פרטית
204,פרטית
205,פרטית
206,פרטית
207,פרטית
208,פרטית
209,ליסינג
210,פרטית
211,ליסינג
212,פרטית
213,ליסינג
214,ליסינג
215,ליסינג
216,פרטית
217,פרטית
218,פרטית
219,ליסינג
220,ליסינג
221,פרטית
222,פרטית
223,פרטית
224,פרטית
225,פרטית
226,ליסינג
227,פרטית
228,ליסינג
229,פרטית
230,ליסינג
231,פרטית
232,ליסינג
233,פרטית
234,ליסינג
235,ליסינג
236,השכרה
237,אחר
238,פרטית
239,ליסינג
240,פרטית
241,פרטית
242,פרטית
243,פרטית
244,פרטית
245,פרטית
246,פרטית
247,פרטית
248,פרטית
249,פרטית
250,פרטית
251,פרטית
252,פרטית
253,פרטית
254,פרטית
255,פרטית
256,פרטית
257,פרטית
258,פרטית
259,פרטית
260,פרטית
261,פרטית
262,ליסינג
263,פרטית
264,פרטית
265,פרטית
266,ליסינג
267,פרטית
268,פרטית
269,פרטית
270,ליסינג
271,ליסינג
272,פרטית
273,פרטית
274,פרטית
275,פרטית
276,פרטית
277,פרטית
278,פרטית
279,אחר
280,פרטית
281,פרטית
282,ליסינג
283,פרטית
284,פרטית
285,השכרה
286,פרטית
287,פרטית
288,פרטית
289,ליסינג
290,ליסינג
291,פרטית
292,פרטית
293,השכרה
294,פרטית
295,פרטית
296,פרטית
297,פרטית
298,פרטית
299,פרטית
300,פרטית
301,פרטית
302,פרטית
303,ליסינג
304,פרטית
305,פרטית
306,פרטית
307,פרטית
308,פרטית
309,פרטית
310,ליסינג
311,פרטית
312,ליסינג
313,אחר
314,ליסינג
315,פרטית
316,פרטית
317,פרטית
318,פרטית
319,ליסינג
320,פרטית
321,ליסינג
322,פרטית
323,פרטית
324,ליסינג
325,פרטית
326,ליסינג
327,פרטית
328,פרטית
329,פרטית
330,פרטית
331,פרטית
332,פרטית
333,ליסינג
334,פרטית
335,פרטית
336,ליסינג
337,פרטית
338,פרטית
339,פרטית
340,פרטית
341,פרטית
342,פרטית
343,פרטית
344,פרטית
345,ליסינג
346,ליסינג
347,פרטית
348,ליסינג
349,פרטית
350,פרטית
351,אחר
352,ליסינג
353,פרטית
354,השכרה
355,פרטית
356,פרטית
357,ליסינג
358,ליסינג
359,פרטית
360,פרטית
361,פרטית
362,ליסינג
363,פרטית
364,פרטית
365,פרטית
366,השכרה
367,פרטית
368,ליסינג
369,פרטית
370,פרטית
371,פרטית
372,אחר
373,פרטית
374,ליסינג
375,פרטית
376,ליסינג
377,פרטית
378,פרטית
379,ליסינג
380,פרטית
381,פרטית
382,אחר
383,פרטית
384,פרטית
385,פרטית
386,ליסינג
387,ליסינג
388,פרטית
389,ליסינג
390,פרטית
391,פרטית
392,ליסינג
393,פרטית
394,פרטית
395,ליסינג
396,ליסינג
397,ליסינג
398,פרטית
399,פרטית
400,פרטית
401,פרטית
402,פרטית
403,פרטית
404,ליסינג
405,פרטית
406,ליסינג
407,פרטית
408,פרטית
409,פרטית
410,פרטית
411,ליסינג
412,ליסינג
413,ליסינג
414,ליסינג
415,פרטית
416,פרטית
417,השכרה
418,ליסינג
419,השכרה
420,ליסינג
421,ליסינג
422,ליסינג
423,פרטית
424,פרטית
425,פרטית
426,פרטית
427,ליסינג
428,פרטית
429,פרטית
430,פרטית
431,פרטית
432,ליסינג
433,ליסינג
434,ליסינג
435,פרטית
436,פרטית
437,פרטית
438,ליסינג
439,פרטית
440,פרטית
441,ליסינג
442,פרטית
443,פרטית
444,ליסינג
445,פרטית
446,פרטית
447,פרטית
448,פרטית
449,ליסינג
450,פרטית
451,פרטית
452,ליסינג
453,פרטית
454,פרטית
455,פרטית
456,פרטית
457,פרטית
458,פרטית
459,פרטית
460,פרטית
461,ליסינג
462,ליסינג
463,פרטית
464,פרטית
465,פרטית
466,ליסינג
467,פרטית
468,פרטית
469,פרטית
470,פרטית
471,ליסינג
472,ליסינג
473,פרטית
474,ליסינג
475,פרטית
476,פרטית
477,פרטית
478,ליסינג
479,פרטית
480,פרטית
481,פרטית
482,ליסינג
483,פרטית
484,ליסינג
485,ליסינג
486,פרטית
487,פרטית
488,פרטית
489,פרטית
490,פרטית
491,ליסינג
492,פרטית
493,ליסינג
494,פרטית
495,ליסינג
496,פרטית
497,פרטית
498,פרטית
499,פרטית
500,פרטית
501,ליסינג
502,פרטית
503,ליסינג
504,פרטית
505,פרטית
506,פרטית
507,פרטית
508,פרטית
509,פרטית
510,ליסינג
511,פרטית
512,פרטית
513,פרטית
514,ליסינג
515,ליסינג
516,פרטית
517,אחר
518,ליסינג
519,ליסינג
520,פרטית
521,פרטית
522,פרטית
523,פרטית
524,פרטית
525,פרטית
526,ליסינג
527,פרטית
528,פרטית
529,פרטית
530,פרטית
531,פרטית
532,פרטית
533,ליסינג
534,פרטית
535,ליסינג
536,פרטית
537,פרטית
538,פרטית
539,ליסינג
540,ליסינג
541,פרטית
542,פרטית
543,פרטית
544,פרטית
545,פרטית
546,פרטית
547,ליסינג
548,פרטית
549,פרטית
550,פרטית
551,פרטית
552,אחר
553,השכרה
554,ליסינג
555,ליסינג
556,פרטית
557,פרטית
558,פרטית
559,אחר
560,ליסינג
561,פרטית
562,פרטית
563,פרטית
564,פרטית
565,ליסינג
566,אחר
567,ליסינג
568,פרטית
569,פרטית
570,ליסינג
571,פרטית
572,פרטית
573,ליסינג
574,אחר
575,ליסינג
576,פרטית
577,פרטית
578,פרטית
579,ליסינג
580,פרטית
581,פרטית
582,פרטית
583,ליסינג
584,פרטית
585,פרטית
586,ליסינג
587,פרטית
588,פרטית
589,פרטית
590,פרטית
591,פרטית
592,ליסינג
593,פרטית
594,פרטית
595,פרטית
596,פרטית
597,ליסינג
598,פרטית
599,פרטית
600,ליסינג
601,פרטית
602,פרטית
603,ליסינג
604,פרטית
605,פרטית
606,פרטית
607,ליסינג
608,פרטית
609,ליסינג
610,ליסינג
611,פרטית
612,השכרה
613,ליסינג
614,ליסינג
615,פרטית
616,פרטית
617,ליסינג
618,פרטית
619,פרטית
620,ליסינג
621,פרטית
622,ליסינג
623,פרטית
624,פרטית
625,פרטית
626,ליסינג
627,פרטית
628,אחר
629,ליסינג
630,פרטית
631,פרטית
632,ליסינג
633,פרטית
634,פרטית
635,ליסינג
636,פרטית
637,פרטית
638,פרטית
639,פרטית
640,ליסינג
641,ליסינג
642,אחר
643,פרטית
644,פרטית
645,פרטית
646,ליסינג
647,פרטית
648,פרטית
649,פרטית
650,פרטית
651,פרטית
652,פרטית
653,פרטית
654,פרטית
655,פרטית
656,פרטית
657,ליסינג
658,ליסינג
659,פרטית
660,פרטית
661,ליסינג
662,פרטית
663,ליסינג
664,ליסינג
665,פרטית
666,פרטית
667,ליסינג
668,פרטית
669,פרטית
670,פרטית
671,פרטית
672,פרטית
673,ליסינג
674,פרטית
675,פרטית
676,אחר
677,ליסינג
678,פרטית
679,פרטית
680,פרטית
681,פרטית
682,ליסינג
683,פרטית
684,אחר
685,פרטית
686,פרטית
687,ליסינג
688,פרטית
689,פרטית
690,פרטית
691,ליסינג
692,פרטית
693,פרטית
694,פרטית
695,ליסינג
696,פרטית
697,ליסינג
698,פרטית
699,ליסינג
700,ליסינג
701,פרטית
702,פרטית
703,פרטית
704,פרטית
705,פרטית
706,פרטית
707,פרטית
708,ליסינג
709,פרטית
710,פרטית
711,פרטית
712,פרטית
713,אחר
714,פרטית
715,פרטית
716,פרטית
717,פרטית
718,אחר
719,פרטית
720,פרטית
721,פרטית
722,פרטית
723,אחר
724,אחר
725,פרטית
726,פרטית
727,פרטית
728,פרטית
729,פרטית
730,ליסינג
731,פרטית
732,פרטית
733,פרטית
734,פרטית
735,פרטית
736,פרטית
737,פרטית
738,פרטית
739,פרטית
740,פרטית
741,פרטית
742,פרטית
743,פרטית
744,ליסינג
745,פרטית
746,פרטית
747,פרטית
748,פרטית
749,פרטית
750,פרטית
751,השכרה
752,פרטית
753,פרטית
754,פרטית
755,ליסינג
756,ליסינג
757,ליסינג
758,פרטית
759,פרטית
760,פרטית
761,ליסינג
762,פרטית
763,ליסינג
764,ליסינג
765,אחר
766,פרטית
767,פרטית
768,פרטית
769,פרטית
770,ליסינג
771,פרטית
772,פרטית
773,ליסינג
774,ליסינג
775,פרטית
776,אחר
777,ליסינג
778,פרטית
779,פרטית
780,פרטית
781,פרטית
782,ליסינג
783,פרטית
784,פרטית
785,ליסינג
786,פרטית
787,פרטית
788,פרטית
789,פרטית
790,ליסינג
791,ליסינג
792,פרטית
793,ליסינג
794,פרטית
795,ליסינג
796,פרטית
797,פרטית
798,ליסינג
799,ליסינג
800,פרטית
801,ליסינג
802,פרטית
803,פרטית
804,פרטית
805,פרטית
806,פרטית
807,פרטית
808,פרטית
809,ליסינג
810,אחר
811,פרטית
812,פרטית
813,ליסינג
814,פרטית
815,ליסינג
816,פרטית
817,פרטית
818,פרטית
819,ליסינג
820,פרטית
821,פרטית
822,פרטית
823,אחר
824,ליסינג
825,פרטית
826,פרטית
827,פרטית
828,פרטית
829,אחר
830,פרטית
831,פרטית
832,פרטית
833,פרטית
834,ליסינג
835,ליסינג
836,פרטית
837,פרטית
838,פרטית
839,פרטית
840,פרטית
841,פרטית
842,ליסינג
843,פרטית
844,ליסינג
845,ליסינג
846,ליסינג
847,פרטית
848,ליסינג
849,השכרה
850,פרטית
851,ליסינג
852,אחר
853,פרטית
854,ליסינג
855,פרטית
856,פרטית
857,ליסינג
858,ליסינג
859,פרטית
860,פרטית
861,פרטית
