,price
0,"138,000 ₪"
1,"117,500 ₪"
2,"115,000 ₪"
3,"69,900 ₪"
4,"20,000 ₪"
5,"143,000 ₪"
6,"97,000 ₪"
7,"313,800 ₪"
8,"112,900 ₪"
9,"75,900 ₪"
10,"99,000 ₪"
11,"100,900 ₪"
12,"96,000 ₪"
13,"96,300 ₪"
14,"142,900 ₪"
15,"27,999 ₪"
16,"425,000 ₪"
17,"209,000 ₪"
18,"94,000 ₪"
19,"143,560 ₪"
20,"127,500 ₪"
21,"199,000 ₪"
22,"580,000 ₪"
23,"103,000 ₪"
24,"452,000 ₪"
25,"79,000 ₪"
26,"86,990 ₪"
27,"78,900 ₪"
28,"19,000 ₪"
29,"59,900 ₪"
30,"82,500 ₪"
31,"132,000 ₪"
32,"105,900 ₪"
33,"114,900 ₪"
34,"197,900 ₪"
35,"72,000 ₪"
36,"96,900 ₪"
37,"49,999 ₪"
38,"52,000 ₪"
39,"142,000 ₪"
40,"106,900 ₪"
41,"55,000 ₪"
42,"261,803 ₪"
43,"70,000 ₪"
44,"86,900 ₪"
45,"24,900 ₪"
46,"58,500 ₪"
47,"86,900 ₪"
48,"168,000 ₪"
49,"72,000 ₪"
50,"120,900 ₪"
51,"37,000 ₪"
52,"95,000 ₪"
53,"285,000 ₪"
54,"71,900 ₪"
55,"54,900 ₪"
56,"107,900 ₪"
57,"60,000 ₪"
58,"57,900 ₪"
59,"97,500 ₪"
60,"39,000 ₪"
61,"100,000 ₪"
62,"249,990 ₪"
63,"37,000 ₪"
64,"57,000 ₪"
65,"55,900 ₪"
66,"57,000 ₪"
67,"71,900 ₪"
68,"105,000 ₪"
69,"245,000 ₪"
70,"30,999 ₪"
71,"59,900 ₪"
72,"199,999 ₪"
73,"199,500 ₪"
74,"69,900 ₪"
75,"43,000 ₪"
76,"112,000 ₪"
77,"82,000 ₪"
78,"79,900 ₪"
79,"495,000 ₪"
80,"37,900 ₪"
81,"115,900 ₪"
82,"84,900 ₪"
83,"78,900 ₪"
84,"245,000 ₪"
85,"105,900 ₪"
86,"164,900 ₪"
87,"154,989 ₪"
88,"125,900 ₪"
89,"52,000 ₪"
90,"22,900 ₪"
91,"77,000 ₪"
92,"124,900 ₪"
93,"125,000 ₪"
94,"73,000 ₪"
95,"42,900 ₪"
96,"87,203 ₪"
97,"151,000 ₪"
98,"130,000 ₪"
99,"91,000 ₪"
100,"79,900 ₪"
101,"65,000 ₪"
102,"79,900 ₪"
103,"120,900 ₪"
104,"113,900 ₪"
105,"97,900 ₪"
106,"29,900 ₪"
107,"85,000 ₪"
108,"235,000 ₪"
109,"55,000 ₪"
110,"15,000 ₪"
111,"49,500 ₪"
112,"36,999 ₪"
113,"101,900 ₪"
114,"63,000 ₪"
115,"93,900 ₪"
116,"83,000 ₪"
117,"104,000 ₪"
118,"112,500 ₪"
119,"300,000 ₪"
120,"132,000 ₪"
121,"140,000 ₪"
122,"85,900 ₪"
123,"96,900 ₪"
124,"158,000 ₪"
125,"165,000 ₪"
126,"280,000 ₪"
127,"128,900 ₪"
128,"55,000 ₪"
129,"79,900 ₪"
130,"126,900 ₪"
131,"102,000 ₪"
132,"95,000 ₪"
133,"485,312 ₪"
134,"380,000 ₪"
135,"450,000 ₪"
136,"62,000 ₪"
137,"32,993 ₪"
138,"110,000 ₪"
139,"99,900 ₪"
140,"25,000 ₪"
141,"85,900 ₪"
142,"86,000 ₪"
