,year
0,2018
1,2019
2,2018
3,2021
4,2012
5,2021
6,2019
7,2020
8,2019
9,2019
10,2018
11,2019
12,2019
13,2020
14,2019
15,2016
16,2022
17,2017
18,2020
19,2021
20,2020
21,2022
22,2020
23,2017
24,2019
25,2013
26,2019
27,2020
28,2015
29,2015
30,2014
31,2018
32,2018
33,2019
34,2021
35,2021
36,2021
37,2013
38,2016
39,2021
40,2016
41,2013
42,2022
43,2016
44,2016
45,2013
46,2016
47,2021
48,2018
49,2013
50,2020
51,2016
52,2017
53,2021
54,2018
55,2016
56,2020
57,2019
58,2015
59,2022
60,2011
61,2017
62,2021
63,2017
64,2017
65,2020
66,2021
67,2015
68,2018
69,2016
70,2014
71,2018
72,2019
73,2022
74,2017
75,2017
76,2019
77,2019
78,2018
79,2022
80,2017
81,2019
82,2020
83,2017
84,2022
85,2022
86,2021
87,2019
88,2018
89,2016
90,2009
91,2016
92,2017
93,2018
94,2015
95,2016
96,2020
97,2021
98,2021
99,2016
100,2015
101,2018
102,2016
103,2019
104,2019
105,2016
106,2011
107,2019
108,2021
109,2018
110,2013
111,2019
112,2016
113,2017
114,2015
115,2019
116,2014
117,2019
118,2017
119,2022
120,2021
121,2021
122,2019
123,2019
124,2020
125,2022
126,2019
127,2019
128,2016
129,2017
130,2019
131,2019
132,2017
133,2022
134,2021
135,2022
136,2017
137,2014
138,2016
139,2016
140,2011
141,2017
142,2018
143,2020
144,2019
145,2015
146,2020
147,2021
148,2018
149,2014
150,2021
151,2018
152,2017
153,2018
154,2014
155,2016
156,2018
157,2019
158,2018
159,2010
160,2016
161,2021
162,2019
163,2021
164,2017
165,2016
166,2012
167,2017
168,2022
169,2023
170,2019
171,2022
172,2021
173,2016
174,2019
175,2019
176,2019
177,2023
178,2019
179,2016
180,2019
181,2018
182,2016
183,2016
184,2019
185,2020
186,2020
187,2019
188,2018
189,2022
190,2021
191,2017
192,2021
193,2016
194,2020
195,2012
196,2022
197,2020
198,2020
199,2022
200,2017
201,2018
202,2017
203,2023
204,2020
205,2016
206,2014
207,2020
208,2017
209,2015
210,2015
211,2020
212,2014
213,2017
214,2019
215,2014
216,2016
217,2014
218,2014
219,2020
220,2023
221,2019
222,2019
223,2021
224,2022
225,2013
226,2017
227,2017
228,2020
229,2019
230,2019
231,2020
232,2019
233,2016
234,2020
235,2023
236,2018
237,2012
238,2008
239,2016
240,2010
241,2019
242,2016
243,2018
244,2022
245,2021
246,2014
247,2021
248,2021
249,2017
250,2022
251,2020
252,2013
253,2016
254,2017
255,2019
256,2015
257,2020
258,2016
259,2021
260,2019
261,2022
262,2016
263,2021
264,2022
265,2023
266,2022
267,2017
268,2018
269,2015
270,2023
271,2019
272,2015
273,2010
274,2021
275,2019
276,2016
277,2014
278,2011
279,2016
280,2017
281,2016
282,2023
283,2016
284,2018
285,2018
286,2021
287,2021
288,2019
289,2017
290,2013
291,2013
292,2019
293,2017
294,2016
295,2018
296,2014
297,2017
298,2018
299,2021
300,2017
301,2018
302,2019
303,2017
304,2020
305,2018
306,2018
307,2018
308,2022
309,2020
310,2019
311,2018
312,2016
313,2019
314,2018
315,2019
316,2022
317,2017
318,2019
319,2019
320,2017
321,2020
322,2018
323,2023
324,2017
325,2021
326,2019
327,2016
328,2017
329,2023
330,2023
331,2021
332,2014
333,2020
334,2020
335,2019
336,2019
337,2018
338,2021
339,2021
340,2018
341,2021
342,2020
343,2021
344,2019
345,2019
346,2019
347,2013
348,2018
349,2023
350,2021
351,2019
352,2019
353,2010
354,2013
355,2019
356,2020
357,2014
358,2021
359,2017
360,2019
361,2016
362,2020
363,2021
364,2018
365,2019
366,2016
367,2019
368,2019
369,2019
370,2016
371,2015
372,2016
373,2022
374,2016
375,2020
376,2019
377,2018
378,2020
379,2016
380,2022
381,2016
382,2017
383,2017
384,2017
385,2013
