,owner_num
0,4
1,1
2,3
3,1
4,2
5,1
6,1
7,2
8,2
9,1
10,1
11,1
12,1
13,1
14,1
15,2
16,1
17,1
18,2
19,1
20,1
21,1
22,1
23,1
24,2
25,2
26,1
27,1
28,2
29,2
30,3
31,2
32,2
33,3
34,1
35,1
36,1
37,2
38,1
39,2
40,1
41,2
42,3
43,2
44,3
45,2
46,2
47,1
48,4
49,1
50,2
51,3
52,1
53,1
54,2
55,1
56,2
57,3
58,1
59,3
60,2
61,2
62,2
63,2
64,2
65,1
66,1
67,1
68,3
69,2
70,1
71,2
72,1
73,2
74,4
75,1
76,1
77,1
78,1
79,2
80,1
81,1
82,1
83,2
84,1
85,1
86,2
87,1
88,2
89,5
90,1
91,2
92,1
93,2
94,2
95,2
96,1
97,2
98,1
99,2
100,1
101,2
102,1
103,1
104,1
105,2
106,1
107,5
108,1
109,4
110,1
111,4
112,1
113,3
114,2
115,5
116,1
117,1
118,2
119,2
120,1
121,1
122,2
123,1
124,1
125,1
126,1
127,1
128,1
129,2
130,1
131,1
132,1
133,2
134,1
135,1
136,1
137,1
138,3
139,2
140,1
141,3
142,2
143,1
144,1
145,1
146,3
147,1
148,1
149,1
150,1
151,1
152,2
153,2
154,2
155,1
156,2
157,1
158,2
159,4
160,3
161,1
162,2
163,1
164,1
165,2
166,2
167,2
168,1
169,1
170,1
171,1
172,2
173,2
174,2
175,1
176,1
177,1
178,1
179,2
180,3
181,1
182,3
183,2
184,1
185,1
186,2
187,2
188,1
189,1
190,2
191,1
192,1
193,2
194,1
195,2
196,1
197,1
198,1
199,1
200,1
201,1
202,2
203,1
204,2
205,1
206,3
207,1
208,3
209,2
210,2
211,1
212,2
213,2
214,1
215,2
216,2
217,1
218,4
219,1
220,1
221,1
222,2
223,2
224,1
225,3
226,1
227,1
228,2
229,1
230,1
231,1
232,1
233,1
234,2
235,1
236,1
237,1
238,2
239,2
240,2
241,3
242,1
243,1
244,1
245,1
246,1
247,2
248,1
249,2
250,1
251,1
252,1
253,2
254,2
255,1
256,1
257,1
258,1
259,2
260,1
261,1
262,2
263,2
264,1
265,1
266,1
267,1
268,1
269,1
270,2
271,1
272,1
273,2
274,3
275,2
276,1
277,2
278,3
279,2
280,2
281,2
282,1
283,1
284,2
285,1
286,1
287,1
288,1
289,1
290,2
291,2
292,3
293,1
294,2
295,1
296,1
297,2
298,2
299,2
300,1
301,2
302,1
303,1
304,2
305,1
306,2
307,2
308,1
309,1
310,1
311,2
312,1
313,3
314,2
315,2
316,1
317,1
318,2
319,2
320,1
321,1
322,1
323,2
324,1
325,1
326,1
327,1
328,2
329,2
330,1
331,1
332,1
333,1
334,1
335,1
336,1
337,1
338,1
339,1
340,2
341,1
342,1
343,2
344,1
345,1
346,2
347,1
348,2
349,2
350,1
351,1
352,1
353,1
354,3
355,2
356,3
357,2
358,1
359,2
360,1
361,2
362,1
363,3
364,1
365,1
366,1
367,2
368,2
369,3
370,1
371,2
372,1
373,4
374,2
375,1
376,1
377,2
378,2
379,1
380,1
381,1
382,2
383,1
384,1
385,2
386,2
387,2
388,2
389,2
390,2
391,4
392,1
393,1
394,1
395,1
396,2
397,1
398,1
399,2
400,1
401,2
402,4
403,2
404,3
405,1
406,1
407,3
408,2
409,1
410,1
411,1
412,1
413,1
414,1
415,2
416,2
417,1
418,1
419,1
420,1
421,1
422,1
423,1
424,2
425,1
426,1
427,1
428,1
429,1
430,1
431,1
432,4
433,2
434,1
435,1
436,1
437,1
438,3
439,2
440,1
441,4
442,1
443,2
444,2
445,2
446,2
447,2
448,1
449,2
450,1
451,1
452,1
453,1
454,1
455,2
456,1
457,2
458,3
459,1
460,2
461,1
462,3
463,2
464,1
465,2
466,1
467,2
468,1
469,1
470,1
471,1
472,1
473,1
474,1
475,3
476,2
477,2
478,4
479,1
480,1
481,2
482,1
483,1
484,1
485,1
486,1
487,2
488,2
489,1
490,2
491,2
492,2
493,1
494,2
495,2
496,1
497,2
498,2
499,1
500,1
501,1
502,3
503,1
504,3
505,1
506,1
507,2
508,3
509,2
510,1
511,1
512,1
513,1
514,1
515,2
516,1
517,2
518,1
519,1
520,3
521,1
522,2
523,1
524,2
525,2
526,2
527,1
528,1
529,1
530,1
531,1
532,1
