,price,city,version,year,engine,km,owner_num,gear_type,color,origin_own,nxt_test,test_cost
0,"65,000 ₪",מאיפה שנוח לך בארץ,שברולט ספארק SPARK LT,2018,1399 ליטר בנזין,"80,220",1,אוטומטי,אפור,ליסינג,6 חודשים,"1,102 ₪"
1,"132,000 ₪",נתניה,קיה ספורטז' SPORTAGE PREMIUM GT,2019,1591 ליטר בנזין,"59,000",2,אוטומטי,שחור,פרטית,1 חודשים,"2,019 ₪"
2,"110,000 ₪",רעננה,מזדה 2 MAZDA 2 DYNAMIC,2022,1496 ליטר בנזין,"1,800",1,אוטומטי,כסף,פרטית,4 חודשים,"1,235 ₪"
3,"127,900 ₪",נתניה,סובארו פורסטר FORESTER X,2019,2498 ליטר בנזין,"192,000",1,אוטומטי,אפור כהה,פרטית,2 חודשים,"2,019 ₪"
4,"112,900 ₪",רמת השרון,קיה ספורטז' SPORTAGE PREMIUM GT,2018,1591 ליטר בנזין,"78,070",1,אוטומטי,שחור,פרטית,4 חודשים,"2,019 ₪"
5,"144,900 ₪",ראשון לציון,סיטרואן ברלינגו BERLINGO SHINE PK N1,2022,1499 ליטר דיזל,"10,000",2,ידני,שנהב לבן,פרטית,4 חודשים,"1,811 ₪"
6,"115,900 ₪",רעננה,קיה סורנטו SORENTO URBAN,2016,2359 ליטר בנזין,"124,000",1,אוטומטי,שחור,פרטית,4 חודשים,"1,693 ₪"
7,"50,000 ₪",מאיפה שנוח לך בארץ,רנו קליאו CLIO LIFE,2018,1197 ליטר בנזין,"150,200",1,אוטומטי,לבן,אחר,6 חודשים,"1,102 ₪"
8,"155,000 ₪",נתניה,SERES E3 EV EV,2022,חשמלי,0,1,אוטומטי,שנהב לבן,ליסינג,8 חודשים,"1,811 ₪"
9,"89,900 ₪",רמת השרון,קיה נירו NIRO EX,2017,1580 ליטר בנזין,"139,000",1,אוטומטי,אפור,פרטית,0,"1,604 ₪"
10,"85,900 ₪",פתח תקווה,קיה פיקנטו PICANTO EX,2020,1248 ליטר בנזין,"10,095",1,אוטומטי,אדום,פרטית,0,"1,235 ₪"
11,"87,000 ₪",נתניה,מזדה 6 MAZDA 6 LUXURY,2018,1998 ליטר בנזין,"119,000",1,אוטומטי,שנהב לבן,פרטית,3 חודשים,"2,019 ₪"
12,"290,000 ₪",עפולה,ב מ וו X2 SDRIVE 18I VIBE,2023,1499 ליטר בנזין,0,1,אוטומטי,שנהב לבן,פרטית,10 חודשים,"3,366 ₪"
13,"95,000 ₪",חולון,יונדאי איוניק HYBRID SUPREME,2017,1580 ליטר בנזין,"79,000",1,אוטומטי,שחור,פרטית,0,"1,604 ₪"
14,"95,000 ₪",ראשון לציון,פורד אקספלורר EXPLORER LIMITED,2014,3497 ליטר בנזין,"220,000",2,אוטומטי,שנהב לבן,פרטית,5 חודשים,"2,397 ₪"
