,year
0,2018
1,2019
2,2018
3,2021
4,2012
5,2021
6,2019
7,2020
8,2019
9,2019
10,2018
11,2019
12,2019
13,2020
14,2019
15,2016
16,2022
17,2017
18,2020
19,2021
20,2020
21,2022
22,2020
23,2017
24,2019
25,2013
26,2019
27,2020
28,2015
29,2015
30,2014
31,2018
32,2018
33,2019
34,2021
35,2021
36,2013
37,2016
38,2021
39,2016
40,2013
41,2022
42,2016
43,2016
44,2013
45,2016
46,2021
47,2018
48,2013
49,2020
50,2016
51,2017
52,2021
53,2018
54,2016
55,2020
56,2019
57,2015
58,2022
59,2011
60,2017
61,2021
62,2017
63,2017
64,2020
65,2021
66,2015
67,2018
68,2016
69,2014
70,2018
71,2019
72,2022
73,2017
74,2017
75,2019
76,2019
77,2018
78,2022
79,2017
80,2019
81,2020
82,2017
83,2022
84,2022
85,2021
86,2019
87,2018
88,2016
89,2009
90,2016
91,2017
92,2020
93,2018
94,2015
95,2016
96,2020
97,2015
98,2021
99,2021
100,2016
101,2015
102,2018
103,2016
104,2019
105,2019
106,2016
107,2011
108,2019
109,2021
110,2018
111,2013
112,2019
113,2016
114,2017
115,2015
116,2019
117,2014
118,2019
119,2017
120,2022
121,2021
122,2021
123,2019
124,2019
125,2020
126,2022
127,2019
128,2019
129,2016
130,2017
131,2019
132,2019
133,2017
134,2022
135,2021
136,2022
137,2017
138,2014
139,2016
140,2016
141,2011
142,2017
143,2018
144,2020
145,2019
146,2015
147,2020
148,2018
149,2014
150,2021
151,2018
152,2018
153,2014
154,2016
155,2018
156,2019
157,2018
158,2010
159,2016
160,2021
161,2019
162,2021
163,2020
164,2017
165,2016
166,2012
167,2017
168,2022
169,2023
170,2019
171,2022
172,2021
173,2016
174,2019
175,2019
176,2019
177,2023
178,2019
179,2016
180,2019
181,2018
182,2016
183,2016
184,2019
185,2020
186,2020
187,2019
188,2018
189,2022
190,2021
191,2017
192,2021
193,2016
194,2020
195,2012
196,2022
197,2020
198,2020
199,2022
200,2017
201,2018
202,2017
203,2023
204,2020
205,2016
206,2014
207,2020
208,2017
209,2015
210,2015
211,2020
212,2014
213,2017
214,2019
215,2014
216,2016
217,2014
218,2014
219,2020
220,2023
221,2019
222,2019
223,2021
224,2022
225,2013
226,2017
227,2018
228,2017
229,2020
230,2019
231,2019
232,2020
233,2019
234,2016
235,2020
236,2023
237,2018
238,2012
239,2008
240,2016
241,2010
242,2019
243,2016
244,2018
245,2022
246,2021
247,2014
248,2021
249,2021
250,2017
251,2022
252,2020
253,2013
254,2016
255,2017
256,2019
257,2015
258,2020
259,2016
260,2021
261,2019
262,2022
263,2016
264,2021
265,2022
266,2023
267,2022
268,2017
269,2018
270,2015
271,2023
272,2019
273,2015
274,2010
275,2021
276,2019
277,2016
278,2014
279,2011
280,2016
281,2017
282,2016
283,2023
284,2016
285,2018
286,2018
287,2021
288,2021
289,2019
290,2017
291,2013
292,2013
293,2019
294,2017
295,2016
296,2018
297,2014
298,2017
299,2018
300,2021
301,2017
302,2018
303,2019
304,2017
305,2020
306,2018
307,2018
308,2018
309,2022
310,2020
311,2019
312,2018
313,2016
314,2019
315,2018
316,2019
317,2022
318,2017
319,2019
320,2019
321,2017
322,2020
323,2018
324,2023
325,2017
326,2021
327,2019
328,2016
329,2017
330,2023
331,2023
332,2021
333,2014
334,2020
335,2020
336,2017
337,2019
338,2019
339,2018
340,2021
341,2021
342,2018
343,2021
344,2020
345,2021
346,2019
347,2019
348,2019
349,2013
350,2018
351,2023
352,2021
353,2019
354,2019
355,2010
356,2013
357,2019
358,2020
359,2014
360,2021
361,2017
362,2019
363,2016
364,2020
365,2021
366,2018
367,2019
368,2016
369,2019
370,2019
371,2019
372,2020
373,2016
374,2015
375,2016
376,2022
377,2016
378,2020
379,2019
380,2018
381,2020
382,2016
383,2022
384,2016
385,2017
